QUEST_UNUSED_20150317_000001	Oh, sedang menuju ke Master Pardoner. Semoga beruntung.
QUEST_UNUSED_20151116_001289	{nl}Jika persiapan telah selesai, janganlah datang kepadaku tetapi temuilah tuan Pranas dan pergilah mengarah ke Ashaq Underground Prison!
QUEST_UNUSED_20151116_001290	Land Lord telah bersiap dengan terburu-buru dengan mengirimkan orang.{nl} Sebenarnya saya ingin memberikan benda yang lebih bagus, tetapi karena terburu-buru tolong gunakanlah ini.{nl} Jika menggunakan Anvil maka dapat memperkuat senjata.
QUEST_UNUSED_20151116_001291	Jika para Demon menghabisi tuan Urbonas, maka selanjutnya yang menjadi target adalah Orsha.{nl} Apapun yang terjadi tuan Urbonas harus diselamatkan!
QUEST_UNUSED_20151116_001292	Perkataan Land Lord adalah benar.{nl} Area Utara tempat saya berada dulu, telah lama hancur akibat para Demon.{nl} Mungkin selanjutnya adalah daerah selatan.
QUEST_UNUSED_20151116_001293	{nl}Orsha adalah markas dari kerajaan selatan.{nl} Para Demon yang menangkap tuan Urbonas, sudah jelas campur tangan dalam hal ini.{nl} Tolong pergilah menyelamatkan Tuan Urbonas di Ashaq Underground Prison bersama dengan saya!
QUEST_UNUSED_20151116_001294	Saya akan pergi untuk meminta bantuan kepada para chaser di jalan ini.{nl} Jika anda juga telah siap, tolong datanglah ke area XX yang mengarah ke Ashaq Underground Prison di Paupys Crossing.
QUEST_UNUSED_20151116_001295	Ini adalah para chaser yang paling berpengalaman yang akan membantu saya.{nl} Tetapi tetap saja jumlah kami kurang jika segini saja.{nl} Untungnya anda juga ada bersama kami.{nl}
QUEST_UNUSED_20151116_001296	Terasa suatu energi tidak baik yang mengalir keluar dari arah Basement Prison.{nl} Jika telah siap mari berangkat ke Ashaq Underground Prison.
QUEST_UNUSED_20151116_001297	Saya akan berangkat terlebih dahulu dengan para Chaser.{nl} Tolong ikuti langsung.
QUEST_UNUSED_20151116_001298	Sepertinya ada sesuatu yang terasa berat di leher dan tidak dapat diketahui.{nl} Sampai sulit untuk bernapas rasanya.{nl} Tetapi apakah anda tidak apa-apa?
QUEST_UNUSED_20151116_001299	{nl} Melihat kebebasan yang ada pada diri anda, sepertinya Goddess sungguh sedang memperhatikan kita.
QUEST_UNUSED_20151116_001300	Aku pernah datang ke tempat ini beberapa kali ketika masih berlatih menjadi Priest.{nl} Tetapi aku tidak pernah menrasakan kesulitan bernapas seperti ini.{nl} Sampa seperti kabut yang tidak enak itu.
QUEST_UNUSED_20151116_001301	{nl} Karena anda terlihat bebas, maka pergilah ke area nomor 2 dan cobalah periksa{nl} ada hal apa yang terjadi disana?
QUEST_UNUSED_20151116_001302	Perasaan ini sama seperti terkena kutukan rupanya.
QUEST_UNUSED_20151116_001303	Aku belum pernah melihat dan mendengar akan berhala yang berbentuk seperti itu.{nl} Bagaimanapun para Demon sepertinya sedang merencanakan suatu hal.{nl}  Kami merasa tenang, karena anda telah menghancurkan berhala tersebut{nl} Padahal kami bahkan tidak dapat menyentuhnya satu jemari pun.
QUEST_UNUSED_20151116_001304	{nl}Sekarang ada kemungkinan bahwa Bishop ada bersama dengan saudara-saudara itu di dalam ruang tersembunyi di tempat ini.{nl} Karena kami tidak dapat melakukan apapun, tolonglah anda pergi ke tempat itu sendirian.{nl} Apakah tidak apa-apa?
QUEST_UNUSED_20151116_001305	Jika memungkinkan, tolong habisi semua patung berhala yang baru saja anda hancurkan.{nl} Jika ada benda itu, maka saudara-saudara yang selamat pun tidak dapat melarikan diri.
QUEST_UNUSED_20151116_001306	Tempat ini sungguh rumit dan sudah tua, jika memasuki jalan yang salah maka ada kemungkinan tidak dapat keluar ke permukaan tanah kembali.{nl} waspadalah.
QUEST_UNUSED_20151116_001307	Apakah maksud anda datang kemari dengan Pranas?{nl} Membahayakan diri sendiri demi menyelamatkan guru.. Aku tidak memiliki muka untuk melihat para muridku yang telah mati.{nl} Beberapa waktu lalu, murid ku Irma yang sedang menjalankan misi, menghabisi para demon dan menemukan surat perintah.{nl} Itu adalah dokumen yang menyimpan rencana para demon untuk menghancurkan area Orsha.
QUEST_UNUSED_20151116_001308	{nl} Saya memanggil para muridku di suatu malam dan bertemu dengan Irma, lalu mencoba menafsirkan dokumen itu.{nl} Setelah itu kami terus dikejar oleh para Demon.{nl} Setelah melihat isi tafsiran dokumen tersebut, isinya adalah Demon Giltine menyuruh untuk menghabisi seluruh Savior yang ada.{nl} Maka dari itu agar lembaga religius kami dapat menemui Savior yang terpilih dan mengarahkannya, maka kami bersembunyi di tempat ini.
QUEST_UNUSED_20151116_001309	{nl}{nl}Tetapi tidak ada cara untuk menyampaikannya kepada Land Lord Inesia.{nl} Jika meninggalkan jejak, maka akan dikejar oleh para demon dan kupikir itu akan menjadi akhir dari segalanya.{nl} Setelah itu, saya dan para murid bersembunyi secara diam-diam di tempat ini dengan menghindari kejaran demon.{nl} Tetapi ternyata hal itu telah membawa hasil.
QUEST_UNUSED_20151116_001310	{nl}Yang mengejar kami adalah bukan demon biasa, melainkan Demon Lord.{nl} Demon Lord yang bernama Marnox membuat kami tidak dapat keluar dari tempat ini, dengan menguasai penjara ini,{nl} melalui patung berhala dirinya ia melepaskan anak buahnya dan memojokkan kami.{nl} Saya telah berpikir bahwa itu semua adalah akhir dari segalanya.
QUEST_UNUSED_20151116_001311	{nl}Para Priestku sedang bersembunyi di lantai 2 dan 3.{nl} Beberapa Priest telah hilang, lalu Irma dan Saya yang membawa dokumen itu bersembunyi di ruangan bawah tanah lantai 3, tetapi ketika bermaksud melarikan diri secara tidak sengaja bertemu dengan Marnox.{nl} Irma tertangkap oleh Marnox, dan  saya melarikan diri ke tempat ini dan tadinya sedang bersiap untuk menghadapi kematian.
QUEST_UNUSED_20151116_001312	{nl} Tetapi melihat anda yang dikirimkan oleh Inesia, sepertinya masih ada harapan akan segalanya.{nl} Sudah jelas bahwa anda adalah Savior yang kami semua sedang tunggu.
QUEST_UNUSED_20151116_001313	Jika anda adalah sang Savior, maka silahkan naik pada Magic Circle yang kami telah siapkan.{nl} Jika benar anda adalah Savior, maka ada pasti bisa menghadapi Demon Lord.
QUEST_UNUSED_20151116_001314	Jangalah takut.{nl} Goddesslah yang akan mengarahkan anda.
QUEST_UNUSED_20151116_001315	Usaha yang lembaga religius kami lakukan tidaklah sia-sia.{nl} Wahai Savior..
QUEST_UNUSED_20151116_001316	{nl} Tiada orang yang dapat menghadapai Demon Lord Marnox selain anda.{nl} Tolong selamatkan Orsha dan Para Priestku.
QUEST_UNUSED_20151116_001317	Wahai Savior berkat anda yang telah menghabisi para berhala, sekarang Pranas akan dapat bergerak kembali.{nl} Karena saya yang tua ini hanya menghambat saja, maka pergilah bersama Pranas untuk menyelamatkan Irma dan Para Priestku.{nl} Mohon bantuanmu.
QUEST_UNUSED_20151116_001318	Saya tidak dapat melarikan diri sendiri dengan meninggalkan para Priest itu.{nl} Kami harus mengambil kembali Demon Command Scroll.{nl} Harus mengecek rencana penyerbuan para demon dengan menafsirkan bagian yang masih belum ditafsirkan di dokumen itu.
QUEST_UNUSED_20151116_001319	Bishop masih hidup rupanya!{nl} Sungguh beruntung sekali.{nl} Kamu pasti adalah sang Savior.{nl} Goddess sedang membantu kita.
QUEST_UNUSED_20151116_001320	Aku merasakan energi yang tidak baik setelah masuk kesini.{nl} Maka dari itu setelah mendapat imbalan, aku sedikit ingin melakukan pekerjaan lain membantu seorang perekrut pekerjaan..{nl} Walaupun sibuk, jika anda berencana melewati area 1, tolong habisi para demon yang ada di tempat itu{nl} Dan cobalah kumpulkan sesuatu?{nl} Mohon bantuannya akan sesuatu yang terlihat aman.
QUEST_UNUSED_20151116_001321	Kamu terlihat sehat dan kuat berbeda dengan kami.
QUEST_UNUSED_20151116_001322	Entah apa yang akan mereka lakukan dengan ini, paling tidak saya seperti sudah melakukan pekerjaan perlahan-lahan walau sedikit, dan memberikan impresi pada mereka.{nl} Terima kasih.
QUEST_UNUSED_20151116_001323	Para informan yang kutemui di luar, memiliki pikiran yang sama yaitu jika menemukan sesuatu meminta agar dibawakan kepada mereka katanya.{nl} Saya jujur saja tidak ada rasa tertarik pada hal-hal seperti itu..{nl} Tetapi karena hal itu adalah permintaan tolong, sepertinya harus dilakukan.
QUEST_UNUSED_20151116_001324	{nl} Karena saya akan berusaha semampu saya, jika anda juga memiliki urusan untuk menghadapi para demon yang ada di area 2{nl} Maukah anda membawakan sesuatu yang muncul dari mereka?
QUEST_UNUSED_20151116_001325	Tetapi dibandingkan memakai para Demon, apakah tidak lebih baik jika menangkap mereka hidup-hidup?{nl}Tentu dengan dasar jika mereka dapat ditangkap hidup-hidup.
QUEST_UNUSED_20151116_001326	Potongan kayu rupanya.{nl} Apakah ini semacam jimat? Sebenarnya saya sedikit penasaran apakah yang mereka bisa lakukan dengan benda ini..{nl} Yah paling tidak lebih baik daripada tidak ada apapun.
QUEST_UNUSED_20151116_001327	Kudengar dari para informasi bahwa para demon memiliki semacam paket aneh yang mereka taruh di dalam dada mereka.{nl} Entah sepertinya ada sesuatu di dalam paket itu, karena mereka berkeliaran dengan santai di lingkungan yang menyenangkan seperti ini?{nl} Jika anda memiliki urusan di area 3, tolong habisi mereka dan coba kumpulkan paket itu lalu coba gunakanlah.{nl} Bagaimanapun siapa yang tahu sapa tahu itu berguna juga untuk anda?
QUEST_UNUSED_20151116_001328	Saya datang karena mendengar imbalan yang diberikan naik sepuluh kali lipat, tetapi hampir saja saya terlibat dalam masalah besar.{nl} Kita tidak dapat mempercayai perkataan Priest diluar gereja.
QUEST_UNUSED_20151116_001329	Ini bisa digunakan dengan cukup praktis.{nl} Harus diperlihatkan kepada para chaser yang berada diluar.
QUEST_UNUSED_20151116_001330	Saudara-saudara sedang bersembunyi di lantai bawah semuanya.{nl} Kalau begitu bergegaslah pergi ke lantai bawah.
QUEST_UNUSED_20151116_001331	Melihat Draznie dan Auranas yang selamat, sepertinya saudara lainnya pun juga masih hidup rupanya.{nl} Tetapi disini pun juga sama.{nl} Sepertinya para patung berhala kutukan sedang ditanamkan di segala arah.{nl} Benda ini harus segera dimusnahkan seharusnya..{nl}
QUEST_UNUSED_20151116_001332	Menurut perkataan Draznie, Totem kutukan berada di area 2 katanya.{nl} Maukah anda menghancurkannya?{nl} Dengan begitu pencarian akan Irma yang hilang di area 3 akan menjadi lancar.
QUEST_UNUSED_20151116_001333	Irma adalah anak yang paling disayang oleh Bishop.{nl} Alangkah baiknya jika ia masih hidup..
QUEST_UNUSED_20151116_001334	Apakah anda telah menghancurkan berhala?{nl} Karena tubuh ini terasa sedikit lebih ringan.
QUEST_UNUSED_20151116_001335	Sekarang tolong carilah jejak Irma di area 3.{nl} Alangkah baiknya jika ia masih hidup..
QUEST_UNUSED_20151116_001336	Disini selain anda yang merupakan Savior, tidak ada orang lagi di lembaga religius kami yang berkeinginan kuat.{nl} Hal itu sama dengan Land Lord dan penduduk desa di luar sana.
QUEST_UNUSED_20151116_001337	Bagaimana bisa begini..{nl} Saya tadinya berpikir akan mati karena tertangkap oleh Demon Lord..{nl} omong-omong ini dimana?
QUEST_UNUSED_20151116_001338	Yang membuat kami tidak dapat bergerak dengan bebas adalah para patung berhala itu rupanya.{nl} Ketika saya dan Bishop lari menghindari Demon Lord, saya telah melihat berhala itu di area 4 dan 5.{nl} Yang saya lihat itu adalah berhala yang memilik bentuk lain, bagaimanapun benda itu dipasang sepertinya oleh Marnox untuk mengawasi kita
QUEST_UNUSED_20151116_001339	{nl}Apakah anda bisa menghabisi para berhala itu di area 4 dan 5?{nl} Jika tidak dapat menghabisinya, maka pergi kemanapun kita tidak dapat terlepas dari genggaman Marnox..
QUEST_UNUSED_20151116_001340	Ketika tiba di tempat ini, sampai waktu sebelum saya tertangkap oleh Demon Lord, Bishop telah memberitahukan dengan detil nasib dari lembaga religius kami.{nl} Tuan Savior, sungguh beruntung rasanya bisa bertemu dengan anda.
QUEST_UNUSED_20151116_001341	Irma telah turun ke lantai 3.{nl} Jika anda kembali maka akan dimintai untuk dikirim ke tempat itu.
QUEST_UNUSED_20151116_001342	{nl}Saya sepertinya lebih tidak dapat bergerak di sini.{nl} Bagaimanapun anda sepertinya harus pergi sendirian.
QUEST_UNUSED_20151116_001343	Irma berkata pergi untuk mencari Galia yang terpisah dengannya di lantai 3.{nl} Karena Irma dan Galia adalah kakak beradik, maka saya pun tidak dapat tinggal diam.{nl} Jika tanpa anda sebagai Savior, maka yang bisa kami lakukan tidak lain hanyalah bernapas saja{nl} Entah apa yang kami pikirkan.
QUEST_UNUSED_20151116_001344	{nl}Pergilah mencari Irma sebelum ia ditangkap oleh Demon Lord lagi.
QUEST_UNUSED_20151116_001345	Telah mendengarkan cerita Irma.{nl} Kamu datang sampai kesini untuk mencari kami dari Orsha rupanya.{nl}karena sekarang berada bersama Savior, saya merasa tidak takut.
QUEST_UNUSED_20151116_001346	Irma yang terlalu pemberani adalah sebuah masalah.
QUEST_UNUSED_20151116_001347	Bishop adalah orang yang banyak memiliki kekhawatiran.{nl} Sebenarnya banyak tempat lain yang disiapkan untuk bertemu dengan Savior, selain disini.{nl} Diantaranya adalah Ashaq Underground Prison, saya dan Draznie yang ditugaskan untuk hal ini telah banyak menghadapi masalah dan banyak melakukan persiapan.
QUEST_UNUSED_20151116_001348	{nl} Sebenarnya saya bermaksud untuk bersembunyi dari para musuh yang sulit dihadapi, tetapi karena saat ini ada tuan Savior{nl} maka kami harus menggunakan peralatan yang disembunyikan dengan lebih aktif.{nl} Pada kantong kain yang ditumpuk di area 1, tersimpan bubuk mutiara yang berkilauan.{nl} Jika dapat mengumpulkannya dengan baik, maka bisa dipakai secara efektif kepada para demon.{nl} Penjelasan lebih lanjut akan kuberikan setelah anda mengumpulkannya.
QUEST_UNUSED_20151116_001349	Sekali lagi saya kagum pada penglihatan masa depan milik Bishop.{nl} Jika tidak ada persiapa nseperti ini, maka kami tidak dapat melakukan apapun disini mungkin juga sudah mati terbunuh oleh para Demon yah.{nl} Mungkin para saudara-saudara yang hilang sedang bersembunyi di persembunyian yang telah kami siapkan.
QUEST_UNUSED_20151116_001350	Jika jumlahnya sebanyak ini, maka masih akan tersisa jika digunakan.{nl} Terima kasih atas kerja kerasmu.
QUEST_UNUSED_20151116_001351	Para Demon adalah bukan monster sederhana yang biasa, tetapi masing-masing dari mereka memiliki sistem komando sepertinya.{nl} Mereka yang lebih kuat memerintah mereka yang lebih lemah sepertinya.{nl} Jika membunuh mereka yang lebih kuat, mungkin dapat lebih mudah menghabisi sisanya.
QUEST_UNUSED_20151116_001352	{nl} Sekarang jika pergi dengan membawa bubuk mutiara ini, kalau menemukan demon dari jauh, maka cobalah menggunakannya.{nl} Cahaya yang muncul dari bubuk mutiara akan terbang kepada monster demon yang kuat, sehingga ia akan mudah ditemukan.
QUEST_UNUSED_20151116_001353	Masih belum dapat diketahui siapa yang berada di belakang para demon{nl} Jika menghabisi satu persatu apakah dunia ini tidak akan kembali menjadi damai seperti dulu?
QUEST_UNUSED_20151116_001354	Terima kasih atas kerja kerasnya.{nl} Apakah anda telah menghabisi para Demon?{nl} Selain ini, banyak hal lain yang telah kami persiapkan, tetapi yang saya persiapkan tidak ada selain ini..{nl} Sisanya akan saya bereskan bersama dengan Drazeni.
QUEST_UNUSED_20151116_001355	Saya dan Auranas telah mencari tempat yang aman di berbagai tempat di Basement Prison ini.{nl} Tentu saja bukan tempat kita berdiri saat ini.{nl} Tadinya saya bersembunyi di area 3, tetapi Demon lord memimpin anak buahnya dan melakukan pencarian ke tempat itu.{nl} Semua benda yang dibawa kemari kuabaikan, hanya pergi dengan membawa tubuh begitu saja.
QUEST_UNUSED_20151116_001356	{nl} Jika berada sedikit lebih lama di tempat ini, alangkah baiknya jika kembali mencari tempat itu sepertinya..{nl} Seperti yang ada lihat, yang bisa kami lakukan tidak lain hanyalah melarikan diri saja.{nl} Jika boleh maukah anda membereskan area 3?
QUEST_UNUSED_20151116_001357	Para Demon pun tidak dapat berpikir bahwa kami bersembunyi di tempat seperti itu bukan..
QUEST_UNUSED_20151116_001358	{nl}Masalahnya kami juga tidak memikirkan bahwa mereka pun akan datang sampai kesana.
QUEST_UNUSED_20151116_001359	Terima kasih.{nl} Setelah mengecek kondisi sekitar, maka saya akan kembali bersembunyi di area 3.
QUEST_UNUSED_20151116_001360	Jika pergi ke area 4, maka terdapat beberapa ruangan kecil.{nl} Saya membuat beberapa jebakan disana, yang saya pelajari ketika menjalankan tugas di daerah utara.{nl} Jebakan yang berbentuk sama seperti rupa saya, dan memancing musuh.
QUEST_UNUSED_20151116_001361	{nl} Tetapi saya tidak memiliki kemampuan untuk dapat pergi sampai ke tempat itu.{nl} Jika boleh maukah tuan Savior mengaktifkan jebakan yang ada di tempat itu?
QUEST_UNUSED_20151116_001362	Selain Basement Prison, banyak tempat yang dipersiapkan dengan perangkap dan persembunyian.{nl} Jika Orsha hancur, kami telah menyiapkan banyak tempat untuk mengevakuasi orang-orang.
QUEST_UNUSED_20151116_001363	Apakah para Demon terpancing dengan baik?{nl} Karena tidak pernah digunakan untuk menghadapi Demon, aku sedikit khawatir sebenarnya.{nl} Omong-omong untunglha perangkap itu dapat berhasil.
QUEST_UNUSED_20151116_001364	Pergilah kepada Irma.{nl} Ia sedang bersiap untuk mengambil kembali Demon Command Scroll.
QUEST_UNUSED_20151116_001365	Mohon maaf karena menghilang tanpa berkata apapun.{nl} Tetapi karena kondisinya mendesak, selama anda sedang menhancurkan berhala pengawas{nl} Saya dapat datang dengan menghindari pantauan mata dari Marnox.{nl} Tetapi disini juga telah dipasang berhala itu di beberapa tempat.
QUEST_UNUSED_20151116_001366	Untuk sampai ke tempat ini, beberapa saudara kami telah menjadi korban.{nl} Karena tidak ada jalan lain selain hal ini untuk kami.{nl} Tolong halangilah rencana konspirasi demon.
QUEST_UNUSED_20151116_001367	Jika ingin mengambil kembali Demon Command Scroll dengan masuk ke ruangan tersembunyi, maka harus menghancur berhala yang ada di area 2.{nl} Jika menggunakan moving device yang ada di tempat terdekat, maka sudah pasti akan tertangkap oleh Marnox.{nl} Bisakah anda menghabisi berhala yang ada di area 2?
QUEST_UNUSED_20151116_001368	Aneh rupanya, padahal sudah waktunya untuk muncul..{nl} Apakah tuan Savior takut?
QUEST_UNUSED_20151116_001369	Sungguh aneh.{nl} Entah kenapa Marnox tidak muncul?{nl} Jika melihat ia sampai saat ini pun, hal ini tidak masuk akal..
QUEST_UNUSED_20151116_001370	Jika Marnox tidak muncul, apa boleh buat kan.{nl} Cobalah hancurkan berhala pengawas di area 3, untuk mengetes reaksinya.{nl} Kita tidak dapat membuka pintu untuk ke ruang tersembunyi jika ia masih dalam keadaan hidup.
QUEST_UNUSED_20151116_001371	Apakah Bishop telah mendeteksi sesuatu?{nl} Ketika saya tertangkap, aku teringat ia melakukan tindakan yang pengecut dan hanya memikirkan diri sendiri saja.{nl} Ia berkata jika bukan Savior, para Priest seperti kami bukanlah apa-apa katanya..{nl} Apakah tuan Savior takut?
QUEST_UNUSED_20151116_001372	Setelah kabur dengan megirimkan para anak buahnya, entah apakah ia merencanakan sesuatu kedepannya.{nl} Karena kita tidak dapat menghabiskan waktu disini, mari kita coba buka pinter tersebut.
QUEST_UNUSED_20151116_001373	Jika saya membuka pintu, tolong segera masuk mengikuti dari belakang.{nl} Setelah mengambil Demon Command Scroll, mari segera kembali pada Bishop.
QUEST_UNUSED_20151116_001374	Kamu telah membunuh Marnox..{nl} Saya sepertinya akan kesulitan untuk bergerak sementara waktu.
QUEST_UNUSED_20151116_001375	Sungguh kehormatan karena dapat menjaga takdir dari lembaga religius sampai akhir.{nl} Ini semua adalah berkat tuan Savior.{nl} Saya akan bersembunyi di tempat ini sebentar untuk beristirahat, maka dari itu tolong bawakanlah Demon Command Scroll ini kepada Bishop.
QUEST_UNUSED_20151116_001376	Apakah itu berarti anda telah menghabisi Marnox!{nl} Menghabisi Demon Lord katamu.. Orang yang disebut Savior sungguh memiliki kekuatan yang menakjubkan.{nl} Lalu sungguh beruntung rasanya karena para Priestku dalam kondisi selamat..{nl} Para Priest yang hilang akan kumintai tolong pada Inesia, agar dapat dikirim kembali ke kampung halamannya.
QUEST_UNUSED_20151116_001377	Jika Orsha kembali berjaya, maka orang-orang di masa depan pasti akan mengingat anda..
QUEST_UNUSED_20151116_001378	Saya akan kembali ke Orsha seperti ini saja, dan akan menafsirkan Demon Command Scroll.{nl} Tuan Savior beritahukanlah kepada Land Lord bahwa telah berhasil menghalahkan Demon Lord dan menyelamatkan kami.{nl} Saya akan memerintahkan kepada para murid kami untuk berada disini, dan membersihkan yang tersisa dari Marnox, lalu mencari para Priest yang hilang.
QUEST_UNUSED_20151116_001379	Para Demon telah menguasai sampai ke daerah terdekat dengan Orsha rupanya.{nl} Serangan mereka selalu kami dapat antisipasi, tetapi kami tidak pernah menyangka bahwa mereka akan datang bersama dengan Demon Lord.{nl} Sebenarnya saya ingin merayakan pencapaian anda yang mengejutkan, dengan memberitahukan kepada semuanya... tetapi..
QUEST_UNUSED_20151116_001380	{nl}Maaf. Jika kebenaran ini diberitahukan, maka para penduduk hanya akan dipenuhi rasa takut saja.
QUEST_UNUSED_20151116_001381	Saya telah mendapatkan sebagian besar cerita tersebut.{nl} Kamu sungguh Savior yang telah dikirimkan Goddess seperti kata tuan Urbonas rupanya.{nl} Kami Hamondale  Royal Family sangat tersanjung dapat bertemu dengan pahlawan yang ada di dalam legenda.{nl} Ternyata para Goddess belum melupakan kami.{nl} Bagaimana rencana anda kedepannya?
QUEST_UNUSED_20151116_001382	{nl}Pertama-tama pergilah kepada tuan Urbonas.{nl} Beliau sedang mencari Anda.
QUEST_UNUSED_20151116_001383	Tolong anggaplah Orsha ini sebagai kampung halaman anda.{nl} Saya dan para penduduk Orsha akan selalu menyambut anda kapanpun.
QUEST_UNUSED_20151116_001384	Selamat datang. Pekerjaan penafsiran sudah mencapai tahap akhir.{nl} Walaupun ada beberapa bagian penafsiran yang tidak disetujui oleh murid-muridku, tetapi akan kuberitahukan sebagian besar yang sudah selesai.
QUEST_UNUSED_20151116_001385	{nl}{nl}(Mulai dari sini adalah isi tafsiran Demon Command Scroll)
QUEST_UNUSED_20151116_001386	Saya tidak dapat mengatakan bahwa para saudara yang hilang telah mati semuanya.{nl} Jika ingin mencari mereka, maka harus membereskan seluruh berhala Marnox.{nl} Maukah anda untuk membereskan itu semua?
QUEST_UNUSED_20151116_001387	Sudah pasti ada saudara-saudara yang masih selamat..
QUEST_UNUSED_20151116_001388	Terima kasih.{nl} Jika telah pulih dari luka, saya akan segera pergi untuk mencari mereka.
QUEST_UNUSED_20151116_001389	Tidak ada cara untuk mengetahui dimana para saudara  bersembunyi di Basement Prison yang luas seperti ini..{nl} Setelah pekerjaan ini selesai pun, pasti terdapat para Priest yang tidak dapat kembali pada keluarganya..{nl} Saya ingin menyampaikan benda yang dimiliki oleh para Priest kepada keluarga mereka.
QUEST_UNUSED_20151116_001390	{nl} Banyak Priest yang telah menghilang di area 2.{nl} Bisakah anda mencari tas milik mereka di tempat itu?
QUEST_UNUSED_20151116_001391	Para pemilik dari tas yang ditemukan bukanlah orang hilang seluruhnya.{nl} Saya juga telah kehilangan tasku loh..
QUEST_UNUSED_20151116_001392	Terima kasih. Tasku yang hilang pun telah ditemukan rupanya.{nl} Melihat jurnal yang tersisa di dalam tas mereka, sepertinya masi terdapat beberapa saudaraku yang masih selamat.{nl} Sebelum telat, aku harus mencari mereka semua.
QUEST_UNUSED_20151116_001393	Ketika harus membuang benda kotor, maka harus membungkusnya menggunakan sesuatu agar tidak mengotori tangan.{nl} Ketika Irma dan Bishop melarikan diri dari Marnox, berhalanya telah dihancurkan.{nl} tetapi pecahan yang tersisa itu masih ada dan berserakan dimana-mana.{nl} Jika sisa pecahan itu tidak dibereskan, maka mungkin suatu hari energi itu akan menyerang dan dapat menyulitkan kami ke depannya.
QUEST_UNUSED_20151116_001394	{nl} Saya memiliki perban yang dibasahi Holy Water. Menggunakan ini pecahan maka pecahan tersisa dapat dibereskan dengan membungkusnya bukan?{nl} Jika membalut pecahan itu begitu saja maka pecahan itu akan menghilang secara alami karena kekuatan dari Holy Water.
QUEST_UNUSED_20151116_001395	Pekerjaan yang diselesaikan dengan tergesa-gesa biasanya akan menjadi masalah.
QUEST_UNUSED_20151116_001396	Hal yang kukhawatirkan telah berkurang satu rupanya.{nl} Tetapi ruang ini tidak akan mendapat masalah dari Demon beberapa waktu kedepan.
QUEST_UNUSED_20151116_001397	Aku akan menyipakan sihir dengan ingatan jiwaku, maka kau pergilah ke arah Ataka Side Road.{nl} Bawalah apapun yang bisa kau bawa kemari.{nl}
QUEST_UNUSED_20151116_001398	Aku sudah melihat Magic Circle yang teraktifkan. Kau benar tidak apa-apa kan? {nl} Bagaimana jadinya dengan Eminent?{nl}
QUEST_UNUSED_20151116_001399	Mungkin ruangan menyeramkan tirani yang kau tanyakan adalah.. {nl} Penjara yang dibuat pada jaman Kadumel. {nl}
QUEST_UNUSED_20151116_001400	Memperbaiki Magic Circle itu merupakan kewajiban dari Hix, tetapi karena ia terluka maka tidak ada pilihan lainnya.{nl} Ditambah lagi yang lainnya kelelahan karena rasa dingin.. Ingin rasanya meminjam kekuatan anda.
QUEST_UNUSED_20151116_001401	Kamu berhasil melakukannya lebih baik dibandingkan kami para Hix.{nl} Karena sudah jadi seperti ini, Mohon bantuannya satu kali lagi.{nl}
QUEST_UNUSED_20151116_001402	Maka itu, Bisakah anda menghabisi Corpus Les Assassins Bernie Green yang ada di Uzali Crossroads?{nl} Kulitnya sungguh hangat sekali.
QUEST_UNUSED_20151116_001403	Ketika sedang kembali membawa surat, saya bertemu dengan sekumpulan monster.{nl} Kondisi saya sepertinya akan segera membaik setelah istirahat sebentar, Tetapi surat ini sedikit mendesak..{nl}
QUEST_UNUSED_20151116_001404	Monster yang bernama Blue Siaulav Mage di sekitar sini, berkeliling membawa makanan darurat.{nl} Tuan Horas memberitahukan bahwa itu cukup layak dimakan diluar dugaan. Tolong dapatkanlah itu.
QUEST_UNUSED_20151116_001405	Ini adalah situasi yang aneh, tetapi kalau bukan mereka saya pasti sudah kelaparan berat.{nl} Disini sangat dingin, sehingga selain kentang yang lain tidak dapat tumbuh.
QUEST_UNUSED_20151116_001406	Pertama-tama panas itu harus dibereskan terlebih dahulu.{nl} Dulu tuan Horas berkata bahwa Blue Lapasape Mushroom dapat menurunkan panas, mari kita coba.
QUEST_UNUSED_20151116_001407	Sejauh ini kulihat kau memiliki kemampuan yang bagus sebagai Swordman.{nl} Apakah anda tidak ada kepikiran untuk pergi ke tingkatan lebih tinggi?
QUEST_UNUSED_20151116_001408	Pertama-tama tolong perlihatkan kemampuanmu.{nl} Tolong habisi Lapflammer dan Lapeman masing-masing 10 ekor di Paupys Crossing.
QUEST_UNUSED_20151116_001409	Jika sudah memiliki banyak pengalaman berlatih, ini bukanlah tugas yang sulit.
QUEST_UNUSED_20151116_001410	Terima kasih banyak ya.{nl} Kamu terlihat memiliki kelayakan untuk melanjutkan tahapan berikutnya.
QUEST_UNUSED_20151116_001411	Apakah anda adalah orang yang akan berjalan di jalan Highlander?{nl} Jika begitu, maka anda harus lulus menjalani sedikit Tes.{nl} Saya tidak ada waktu untuk mereka yang tidak memiliki kriteria.
QUEST_UNUSED_20151116_001412	Senjata utama utama Highlander adalah Two Handed Sword. Butuh kekuatan untuk mengangkat pedang itu sebagai ganti atas kekuatan yang kuat.{nl} Cobalah serang pasukan latihan pedang di sekitar, dan akan kuperhatikan seberapa kuatnya kekuatan anda.
QUEST_UNUSED_20151116_001413	Cobalah serang pasukan latihan pedang di sekitar saya.{nl} Sehingg saya bisa memberikan penilaian.
