QUEST_20150317_000001	Pilih user untuk memodifikasi quest.
QUEST_20150323_001603	Kutukan alam.
QUEST_20150323_001604	Gluttony, Wrath, Sloth, etc. {nl}Segala kutukan yang mempengaruhi umat manusia adalah obsesi. {nl} Ini seperti semangat orang mati yang tertinggal dan tidak akan datang ke Goddess.
QUEST_20150323_001605	Perbedaannya adalah keinginan orang mati yang menjaga jiwa {nl}sementara kutukan dari orang lain akan melawan kepadamu. {nl}
QUEST_20150323_001606	Oleh karena itu, jika kamu adalah pendeta yang mempelajari ajaran Goddess, kamu tidak diijinkan menggunakannya ke orang lain kecuali untuk percobaan.
QUEST_20150323_001607	Misiku 1
QUEST_20150323_001608	Meskipun Savior mendapatkan penerangan di tangannya, {nl}itu sia-sia jika kamu tidak dapat menjaganya.
QUEST_20150323_001609	Tujuan rahasiaku tidak hanya untuk melindungi Savior dari kejahatan tetapi juga untuk mencegah keserakahan Savior yang lemah.{nl}
QUEST_20150323_001610	Mungkin Kamu berjalan dalam kabut abadi yang tidak diketahui jika Kamu sembarangan mendekat tanpa menyadari niat Aku.
QUEST_20150323_001611	Misiku 2
QUEST_20150323_001612	Mereka yang menantang Misi Kudus tidak akan hanya mencoba untuk mengungkap rahasia secara lembut. {nl} Karena itu, Aku harus merencanakan banyak rahasia dan mengambil tindakan terhadap tindakan barbar tersebut.
QUEST_20150323_001613	Untuk mematuhi rahasia Aku. {nl} Itulah satu-satunya cara untuk mendapatkan warisan dari Goddess.
QUEST_20150323_001614	Memperingati Penyelesaian Katedral
QUEST_20150323_001615	Goddess negeri ini akan membangun sebuah gereja. {nl} Kekuatan jahat tidak pernah dapat menyerang tempat kudus ini. {nl} - Est. Tahun 434, Silvestro Maven
QUEST_20150323_001616	Seseorang tertinggal di belakang
QUEST_20150323_001617	Menara tertinggi gereja jatuh pada Medzio Diena. {nl} Kesedihan dan dukacita rombongan evakuasi tak terlukiskan.
QUEST_20150323_001618	Pada hari kami berdoa kepada Goddess bahwa kami akan kembali, semua orang menangis air mata kemarahan. {nl} gereja kami tidak akan pernah menyerah pada kutukan jahat.
QUEST_20150323_001619	Banyak buku di rak. Manakah yang akan kita baca?
QUEST_20150323_001620	Buku berdebu
QUEST_20150323_001621	(Terdapat buku berdebu dengan catatan di kursi. Manakah yang akan kita baca?)
QUEST_20150323_001622	Itu sangat berbahaya beberapa saat lalu. {nl} Jika Kamu terlambat, kita tidak akan pernah melihat kunci ketiga.
QUEST_20150323_001623	Jika Kamu menggunakan simbol roh, Kamu dapat melihat daerah di mana roh akan diserap. {nl} Kalahkan setan di sana dan kekuatan jahat mereka akan diserap ke dalam simbol.
QUEST_20150323_001624	Setelah Simbol Kekuatan Spiritual terisi, pergi ke Veinika Altar. {nl} Masukkan simbol di altar Veinika dan Kamu akan menerima kunci ketiga Maven.
QUEST_20150323_001625	Obat-obatan akan bekerja
QUEST_20150323_001626	Kuncinya adalah di Gaule Altar. {nl} Aku pikir Kamu harus membocorkan banyak informasi kepada pengikut Naktis.
QUEST_20150323_001627	Tentu saja, Kamu harus menggunakan scroll transformasi sebelum melakukannya.
QUEST_20150323_001628	Rahasianya seharusnya menyingkap kekuatan suci, {nl} tapi perangkap akan aktif jika mendeteksi kekuatan jahat.
QUEST_20150323_001629	Rencananya adalah mendapatkan kunci setelah menggunakan jebakan itu ke pengikut Naktis
QUEST_20150323_001630	pengikut Naktis akan dihukum karena berdoa untuk rahasia Maven. {nl} Gunakan kesempatan itu untuk mendapatkan kunci.
QUEST_20150323_001631	Bahkan jika Goddess mengutuk Aku untuk ini ... Aku akan tetap teguh, {nl} karena itu untuk perlindungan Savior.
QUEST_20150323_001632	Apakah kamu menemukan kunci terakhir?
QUEST_20150323_001633	Tempat kudus ini adalah rumah harta karun bagi pengetahuan. {nl} Kamu perlu menguasai segala sesuatunya untuk melindungi kerajaan dan Savior dalam nama Goddess.
QUEST_20150323_001634	Mempelajari setan tanpa terkecuali.
QUEST_20150323_001635	The Monarch of Curses, Naktis… {nl}He has not shown himself yet but I'm sure he's somewhere inside the sanctuary.
QUEST_20150323_001636	Mungkin dia menunggu kita untuk mendapatkan semua kunci.
QUEST_20150323_001637	Aku merasa terhormat dapat membimbingmu sampai ke ruang rahasia.
QUEST_20150323_001638	Fokus kepada warna dari orb. {nl}Kamu harus memasukkan kunci ke dalam orb yang berwarna sama.
QUEST_20150323_001639	Tentu saja ini tidak mungkin untuk menekan kedua pijakan bersamaan seorang diri. {nl}Kamu bisa menggunakan potongan kayu yang disebarkan oleh demon…..atau kamu dapat meminta bantuan seorang rekan. 
QUEST_20150323_001640	Kebetulan, aku mendengar kesaksian dari penduduk daerah sini. {nl} Dia meminta perlindungan untuk keluarganya ketika aku dikirim kesini...{nl}Tetapi aku tidak melihat anggota dari keluarga Greene,hanya penduduk dan monster-monster. 
QUEST_20150323_001641	Dan aku menemukan bibit misterius ini. {nl}Tidak seperti yang lain,kita dapat merasakan kekuatan misterius dari benda ini. {nl}Aku tidak dapat mengenali dengan detail kekuatan ini. {nl}Tetapi aku yakin ini bisa memurnikan kekuatan jahat.
QUEST_20150323_001642	Kita akan memiliki pengetahuan lebih jika Master disini. {nl}Pokoknya, kita harus memeriksa apakah bibit ini sebenarnya punya kekuatan untuk memurnikan.  {nl}Aku akan melakukan ritual pemurnian sederhana {nl}Bawakan aku beberapa Ellom Leaves untuk memahami status polusi di area ini. 
QUEST_20150323_001643	Sekarang, mari kita mulai. {nl}Tolong lihat bersama-sama.
QUEST_20150323_001644	Tapi dia adalah druid yang telah menyelesaikan sebanyak yang aku miliki. {nl}Aku pikir dia bisa menemukan apa rahasia dari bibit ini.
QUEST_20150323_001645	Dan juga, kamu mungkin mengalami sesuatu yang tidak biasa jika kamu memiliki ranting ini. {nl}Jika kamu mengalaminya, tolong beritahu dia juga tentang hal ini.
QUEST_20150323_001646	Tolong temukan rekanku di Shaton Farm.
QUEST_20150323_001647	Tidakkah dandelion disekitar sini cantik?{nl}Mereka membuatku rugi, bagaimanapun, dengan menyerap nutrisi dari tanah. {nl}Jika ini terus berlanjut, kita tidak akan bisa panen gandum musim depan.{nl}Tolong singkirkan dandelion dari ladang ku. 
QUEST_20150323_001648	Huh?
QUEST_20150323_001649	Huh?
QUEST_20150323_001650	Huh?
QUEST_20150323_001651	Huh?
QUEST_20150323_001652	Kita bertarung dengan susah payah.{nl}Cidera pasukanku lebih penting dibandingkan para petani, apa kau setuju?{nl}Tetapi beberapa druid menyediakan obat hanya untuk para petani,yang setelahnya mereka sembunyikan. {nl}Aku tidak bisa berkata apa-apa...
QUEST_20150323_001653	Ini sederhana, aku akan mencari pasukanku terlebih dahulu.{nl}Bawakan aku obat yang mereka sembunyikan, ini seharusnya tidak terlalu sulit.{nl}Mungkin ada di beberapa kotak kayu atau kereta anggur, bisa juga di rumah kosong... entah dimana diluar sana.
QUEST_20150323_001654	Tetapi Hati-hati.{nl}Jika mangkok ini terisi dengan air,mantra akan mengeluarkan kekuatan istimewa.{nl}Lalu para monster yang terkena ledakan istimewa itu mungkin akan menyerang.  
QUEST_20150323_001655	Ini berhasil.{nl}Apa kamu tahu bibit-bibit ini sama seperti bibit misterius?{nl}Sepertinya jangkauan area yang lebar dari pulau dapat di murnikan jika ini tumbuh dengan cukup baik.
QUEST_20150323_001656	Bagaimanapun juga,menumbuhkannya akan menggunakan bagian ladang yang telah di budidayakan.{nl}Pemilik ladang di reservoir area,Shaton,akan tiba beberapa saat lagi jadi aku harus membujuknya selagi bisa.
QUEST_20150323_001657	Aku akan menemuimu di reservoir area.
QUEST_20150323_001658	Tentara Mike
QUEST_20150323_001659	Orangtuaku meninggal di Medzio Diena karena mereka.{nl}Aku melamar menjadi prajurit disini untuk dendam orangtuaku.{nl}Tetapi..ini memalukan.Aku bahkan tidak bisa begitu banyak seperti melihat mereka.{nl}Tolong,kabulkan permintaanku dan bunuh mereka untukku!
QUEST_20150323_001660	Mereka akan melompat keluar ketika kamu mencapai semak dan akan muncul lebih banyak lagi jika kamu menggoyangkannya.{nl}Kamu sebagian bertanggung jawab untuk ini, jadi kamu harus membantu.
QUEST_20150323_001661	Ada pasangan muda yang bekerja disini. Mereka sangat rajin.{nl}Semuanya disini tidak bekerja keras karena mereka membenci Shaton, tetapi mereka lain.
QUEST_20150323_001662	Tetapi Shaton menyalahgunakan dan memanfaatkan mereka.{nl}Mereka berakhir sekarat karena bekerja berlebihan.Aku punya beberapa kenangan dari mereka...{nl}Aku berjanji untuk menguburnya di dekat kuburan mereka,tetapi aku kehilangan tas yang berisi benda itu di the chaos of Medzio Diena.{nl}Jika kamu menemukan sebuah tas tua, tolong periksa apakah di dalamnya ada cincin.
QUEST_20150323_001663	Bagus. Jika dengan obat ini dapat membuatnya berbicara, maka membelinya di Fedimian Black Market dengan biaya yang mahal juga tak apa kan.{nl}Berbeda dengan para druid yang terlihat lemah lunglai, Alchemist memiliki tampilan wajah yang lebih terpercaya.{nl}Jika mengikuti perkataannya obat ini adalah obat yang terlarut dari Alchemy Essence.
QUEST_20150323_001664	Dia bilang jika aku menuangkan ini di atas tanah,monster patuh yang sangat kuat akan muncul.{nl}Aku akan menggunakan ini untuk membersihkan semua monster di ladang ku!!
QUEST_20150323_001665	Baik,Aku melakukan kesalahan disini dan disana tetapi siapa yang tidak?{nl}IMaksudku,coba lihat anggur itu. bagaimana kamu bisa menggunakan air tanpa campuran wine sebagai air minum?{nl}Walaupun jika dunia berakhir,kamu tidak bisa hanya minum air polos, itu sangat barbar!{nl}Hmm! bagaimanapun juga aku menghargai bantuanmu, aku akan mendengarkan ceritamu.
QUEST_20150323_001666	Sampai dimana cerita itu terdengar! Pikiran yang keluar begitu saja apa adanya.{nl}Entah ilmu sihir ajaib apa yang dipakai, padahal tidak terpikir bahwa gandum dapat tumbuh di sini.{nl}Karena aku harus pergi memeriksa mayat anak lelaki, maka dari itu sebaiknya ini diakhiri sampai sini saja!
QUEST_20150323_001667	Wandering girl yang dimaksud para petani terdengar mencurigakan.{nl}Elly juga setuju denganku.{nl}Mencari fakta bersama tentang apa yang dia lakukan, kita tidak bisa menghiraukan dia sebagai gadis biasa.{nl}Tidakkah orang-orang di keluarga Shaton bertindak sesuatu tentang ini?
QUEST_20150323_001668	Dan Medzio Diena datang beberapa tahun kemudian.{nl}Keluargaku baru saja membuatnya hidup dan ini adalah apa yang terjadi dengan ladang.{nl}Dan bukan itu saja.{nl}Itu sudah dimaksudkan kalau Blue disaster akan mengikuti The great disaster.
QUEST_20150323_001669	Pikirkan hal ini, ini mungkin sudah jadi peringatan tentang anggur beracun itu.{nl}gold blessing yang sebenarnya akan muncul setelah Blue disaster terlewati.Aku tidak tahu apa maksudnya.{nl}Aku ingin berbicara lebih banyak dengannya tetapi ayahnya menendangnya dan berbicara dia merasa buruk. {nl}Dimana keberadaannya sekarang...
QUEST_20150323_001670	Terima kasih.{nl}Bagaimanapun entah apakah kami dapat menerima kepercayaan besar sejak dari Master.{nl}Misalkan hal itu terjadi, itu semua adalah karena berkat bantuan dari para Savior.{nl}Semoga keberuntungan besertamu…
QUEST_20150323_001671	Aku mendengar sesuatu yang berjalan baik di ladang Shaton. {nl}Itu adalah bantuan. Aku akan berdiskusi dengan master tentang pemurnian skala besar dan bagaimana cara untuk membuatnya sukses.
QUEST_20150323_001672	Terima kasih. Ini akan membantu penyembuhan banyak orang.
QUEST_20150323_001673	Ini adalah tugas untuk menghancurkan Lauzinutes sampai Underground tunnel. {nl}Anak sang pemilik sudah lama menghilang di underground tunnel. Menyeramkan dan aku tidak pernah mau pergi kesana. 
QUEST_20150323_001674	Bagus.Pasukanku perlu mempertahankan area ini. {nl}Itu bertempat di area atas. Aku akan menandai pada Map untukmu. {nl}Kamu mungkin perlu melewati beberapa terowongan bawah tanah. 
QUEST_20150323_001675	Underground Tunnel
QUEST_20150323_001676	(Nampaknya aku tidak dapat menuju jalan sebaliknya.)
QUEST_20150323_001677	Apakah Vieta Gorge adalah hasil karya dari Goddess atau keajaiban alam? {nl}Limestone stairway berada di area bagian selatan yang bersinar dengan mata air dan terlihat fantastis.
QUEST_20150323_001678	Kamu tidak boleh percaya pada siapapun disini. Tidak pada Goddess atau bahkan pada dirimu sendiri.
QUEST_20150323_001679	Hauberk, Goddess tidak ada niat untuk bertarung denganmu. {nl}Hentikan kebencianmu.
QUEST_20150323_001680	Valtrus…
QUEST_20150323_001681	Kembali ke sana!
QUEST_20150323_001682	Persiapan untuk membuat Evening Star Key.{nl} Cepat, kita tidak punya banyak waktu. Aku akan mengirim Saviorsegera.
QUEST_20150323_001683	Aku tidak akan membiarkan jiwaku kau curangi lagi!
QUEST_20150323_001684	Apa ini…. {nl}Apa yang akan kau lakukan dengan jiwaku?
QUEST_20150323_001685	Srautas Canyon telah dipenuhi oleh kekuatan jahat dan para demon sudah memulai penyerangan. {nl}Penjaga dan pengikut paladin bertahan dari mereka tetapi mereka mati-matian membutuhkan bantuanmu.
QUEST_20150323_001686	Hal aneh telah terjadi di Vejo Ravine.{nl}Semua penduduk desa menghilang dan para monster mengambil tempat mereka.
QUEST_20150323_001687	Para monster memasuki Stele Road dan mem-blokir jalan. {nl}Semua kota dan desa akan terisolasi jika kita tidak menghancurkan para monster.
QUEST_20150323_001688	Kita butuh bantuan untuk dapat membuka jalan dari Dvaisa Ridge ke Gateway of Great King. {nl}Tolong bantu.
QUEST_20150323_001689	Penjudi Klaipeda
QUEST_20150323_001691	Investigate the Miners' Village
QUEST_20150323_001692	Disaster of Saknis Plains
QUEST_20150323_001693	Vilna Forest: The Monsters' Purpose
QUEST_20150323_001694	Altar Vilna Forest
QUEST_20150323_001695	Ancaman di Poslinkis Forest
QUEST_20150323_001696	Food Pile of Starving Demon's Way
QUEST_20150323_001697	For the Pilgrim
QUEST_20150323_001698	True Origin of the Curse
QUEST_20150323_001699	Working on the Landfill
QUEST_20150323_001700	Tough Life
QUEST_20150323_001701	Needing the Nutritious Tonic
QUEST_20150323_001702	Desire for Normal Food
QUEST_20150323_001703	Passing it Along
QUEST_20150323_001704	Cleaning the Strange Aura
QUEST_20150323_001705	Recharging Energy
QUEST_20150323_001706	Positive Evidence
QUEST_20150323_001707	Weapons Supply
QUEST_20150323_001708	Food Reserve
QUEST_20150323_001709	Disintegration
QUEST_20150323_001710	Monster Gone Wild
QUEST_20150323_001711	The Suspicious Dagger
QUEST_20150323_001712	Monster Preying on Military Supplies
QUEST_20150323_001713	Louise's Farmland
QUEST_20150323_001714	Unsatisfactory Crops
QUEST_20150323_001715	Old Seeds
QUEST_20150323_001716	Shaton yang keras kepala
QUEST_20150401_001717	Sesuatu tidak terjadi…
QUEST_20150401_001718	Tidak terjadi apa-apa...
QUEST_20150401_001719	Menekan Altar
QUEST_20150401_001720	Altar telah aktif
QUEST_20150401_001721	Lilin telah menyala
QUEST_20150401_001722	Memerlukan sesuatu untuk menyalakannya...
QUEST_20150401_001723	Star Stone
QUEST_20150401_001724	Benda itu bereaksi terhadap sesuatu...
QUEST_20150401_001725	Ada sesuatu hilang untuk mengaktifkan altar..
QUEST_20150401_001726	Kekuatan yang besar diarasakan dari altar...
QUEST_20150401_001727	Memeriksa objek area
QUEST_20150401_001728	terasa ada kekuatan yang aneh..
QUEST_20150401_001729	Tidak terjadi apa-apa...
QUEST_20150401_001730	Monsters melemah karena bayangan telah hilang
QUEST_20150401_001731	Star Lamp
QUEST_20150401_001732	Tidak dapat mengambil kembali..
QUEST_20150401_001733	Aku merasa terhisap oleh cahaya tersebut...
QUEST_20150401_001734	Aku menyembunyikan beberapa di rerumputan agar dapat memakannya nanti.  {nl}Tolong bawa benda itu kepadaku. 
QUEST_20150401_001735	Ini rusak. {nl}Ambil ini kembali.
QUEST_20150401_001736	Baunya yang sangat menyengat. Buang itu lalu kembalilah.
QUEST_20150401_001737	Ugh. Bagaimana kamu bisa memakan itu? Kamu harus membawa yang masih baru. 
QUEST_20150401_001738	Magic circle harus diperkuat untuk menekan kekuatan aneh yang menyelimuti area ini.
QUEST_20150401_001739	Aku harus ikut melakukan tindakan kebenaran. 
QUEST_20150401_001740	Aku baru saja memberikan benda tersebut..
QUEST_20150401_001741	Aku merasa pusing. Apakah obatnya bekerja? 
QUEST_20150401_001742	Aku tidak merasa lapar lagi.
QUEST_20150401_001743	Kamu pasti memiliki banyak pertanyaan. silahkan, Savior. 
QUEST_20150401_001744	Vakarine sedang melawan Valtruss di dekat portal yang berada di Demon Prison.  {nl}dia tidak akan bertahan lama jika tidak ada yang membantunya. 
QUEST_20150401_001745	Pria-pria dibawah komando Baron telah datang ke sana. Meskipun mereka tidak pernah datang kembali. {nl}Aku telah melihat semuanya ketika berada di dalam wizard.  {nl}Bahkan teriakan Vakarine and pasangannya.
QUEST_20150401_001746	Sekarang mari bicarakan hal itu. Apakah Kamu bersedia untuk menyelamatkan Goddess atau tidak.
QUEST_20150401_001747	Bagian tubuh Nuaele semua terpotong. {nl} Sekarang carilah Aldona. {nl} Dia akan membawa Kamu dan Hauberk ke wilayah Nuaele.
QUEST_20150401_001748	Biaya konstruksi Royal Mausoleum
QUEST_20150401_001749	Siapa yang menjaga martabat King Zachariel dan keturunannya dikuburkan disini. 
QUEST_20150401_001750	[Tertulis sesuatu tentang tempat rahasia]
QUEST_20150401_001751	[Details of Shout the name of the King!]
QUEST_20150401_001752	[Details of Shout the name of the Goddess Ausrine!]}
QUEST_20150401_001753	[Details of Shout the name of the Goddess Zemyna!]
QUEST_20150401_001754	[Details of Shout the name of the Goddess Vakarine!]
QUEST_20150401_001755	[Details of Shout the name of the Goddess Laima!]
QUEST_20150401_001756	[Details of Shout the name of the Goddess Gabija!]
QUEST_20150401_001757	Siapa yang mengerti perkataan itu dengan baik akan mendapat pencerahan. {nl}jika kamu terjebak dalam kebuntuan, teriakan namanya dan kamu akan menemukan jalan.
QUEST_20150401_001758	Terdengar bisikan di dalam kepalamu. 
QUEST_20150401_001759	Crystal yang diketahui.
QUEST_20150401_001760	Kekuatan mantra yang terperangkap telah bebas.
QUEST_20150401_001761	Crystal telah kosong karena segel telah dibuka.
QUEST_20150401_001762	Menyegel kutukan.
QUEST_20150401_001763	Kutukan yang kuat dapat dimusnahkan jika kamu menggunakan kepingan Crystal Pemusnah Kutukan.
QUEST_20150401_001764	Demon Monarch Naktis
QUEST_20150401_001765	Kamu telah berlari sangat keras di lahanku. {nl}Maaf nak, tetapi namaku akan menyebabkan kutukan.
QUEST_20150401_001766	Apa ini.. {nl}Apa yang kamu lakukan dengan jiwaku!
QUEST_20150401_001768	Reconstruction of the Blessing
QUEST_20150406_001769	Kamu juga berpikir seperti itu, huh. {nl}Silahkan mengumpulkan kulit.  Kamu bisa mendapatkannya dari monster.
QUEST_20150406_001770	Kalau begitu berikan aku 1000 silvers. Aku juga berada di posisi yang sulit.
QUEST_20150406_001771	Aku sangat minta maaf namun aku harap kamu mengerti.
QUEST_20150406_001772	Kalau begitu aku tidak punya urusan denganmu
QUEST_20150406_001773	Kamu bahkan lebih buruk dariku.
QUEST_20150406_001774	Bahkan lebih menyedihkan daripadaku.. Ambil ini.
QUEST_20150406_001775	Apa ini?
QUEST_20150406_001776	Tetapi wajahmu masih asing {nl}Kecuali kamu mempunya bukti kalau kamu adalah rekan Horacius.
QUEST_20150406_001777	Tidak mengherankan! Ini dia.
QUEST_20150406_001778	Aku tidak bisa memberi barang pertanian berhargaku ke seseorang yang mencurigakan.
QUEST_20150406_001779	Huh? Mengapa aku harus mempercayaimu?
QUEST_20150406_001780	Itu suatu ketekunan. Kemari.
QUEST_20150406_001781	Aku ingin tahu jika persiapannya berjalan lancar..
QUEST_20150406_001782	Aku tidak tahu siapa kamu tapi aku sangat sibuk.
QUEST_20150406_001783	Apa yang terjadi jika itu gagal?
QUEST_20150406_001784	Jika hanya itu saja maka Aku akan bekerja sama. {nl} Akankah alat-alat pertanian cukup?
QUEST_20150406_001785	Tentu saja aku harus memberi. {nl}Itu akan sukses.
QUEST_20150406_001786	Apakah itu tidak cukup?
QUEST_20150406_001787	Kalung Sharon
QUEST_20150406_001788	Ditemukan kalung tua bernoda darah. Mungkinkah ini adalah kalung milik anak Sharon?
QUEST_20150406_001789	Mesin ini dapat memproses fragmen kristal. {nl} Manakah item yang Kamu ingin proses?
QUEST_20150406_001790	Catatan
QUEST_20150406_001791	Jika kamu sedikit meresonasi crystals, makan kamu akan mendengar musik yang indah
QUEST_20150406_001792	Perhatian: Lokasi di depan merupakan area longsoran batu!
QUEST_20150406_001793	Mesin teka-teki
QUEST_20150406_001794	Ada red, blue, and yellow circles pada permukaan lama.
QUEST_20150406_001795	Ini adalah rantai yang menyobek-nyobek jiwaku. Aku mengumpulkan jiwaku dengan ini.
QUEST_20150406_001796	Sepertinya rencana tadi adalah memblok celah kontaminasi dengan jiwaku.{nl}Untungnya aku sudah tahu sebeum terlambat.
QUEST_20150406_001797	Apakah Kamu pikir Kamu bisa membawa Aku semudah itu?{nl}Sampaikan salamku pada Vakarine.
QUEST_20150406_001798	Berikan itu, Savior. {nl}Goddess akan menjaganya.
QUEST_20150406_001800	The Forgotten Magic Circle
QUEST_20150414_001801	Apa yang ingin kamu ketahui? 
QUEST_20150414_001802	Receptionist Ramda
QUEST_20150414_001803	Dapat memulai commission saat semua anggota party berkumpul. 
QUEST_20150414_001804	Saat ini kamu belum bisa menerima commission. 
QUEST_20150414_001805	Mulai commission? 
QUEST_20150414_001806	Betul sekali {nl}Altar akan berpindah lagi.
QUEST_20150414_001807	Box of Legwyin Family
QUEST_20150414_001808	Tidak ada yang bisa ditemukan..
QUEST_20150414_001809	Tesla Government
QUEST_20150414_001810	Aku mempersembahkan Statue of Goddess yang dibuat dengan kehormatan dan harapan. 
QUEST_20150414_001811	Huek, bagaimana bisa kamu memakan itu? Kamu harus membawakan yang masih utuh. 
QUEST_20150414_001812	Bagus, bagus. Purification berjalan dengan baik. {nl}Selamat datang di daerahku, Savior. 
QUEST_20150414_001813	Purification? Ah.. ya, itu sedang berjalan. {nl}Semua ini untuk para farmer. Selama mesin itu masik bekerja dengan baik.
QUEST_20150414_001814	Hanya ada satu hal yang dinginkan orang tua. {nl}Kecantikan. Kecantikan yang abadi..{nl}
QUEST_20150414_001815	Ah, Aku hanya mengacu pada mesin dan purification. 
QUEST_20150414_001816	Mesin ini terlalu banyak mengerjakan hasil panen. {nl}Kamu bisa bilang mesin itu masih ada karena prestige dan moral dariku. 
QUEST_20150414_001817	Apakah kamu melihat aura aneh disekitar farm? {nl}Itu adalah hal yang mengkontaminasi farm. {nl}
QUEST_20150414_001818	Spell device ini berfungsi untuk mengurangi aura tersebut dengan magic circle dan menjaga farm. {nl}Terima kasih untuk Rimas.
QUEST_20150414_001819	Omong-omong, kapan tim pencari kembali dari area yang terlarang itu? {nl}
QUEST_20150414_001820	Ah, kamu masih disini. {nl}Silahkan lihat-lihat sekitar terlebih dahulu.
QUEST_20150414_001821	Jika kita gagal.. Apa yang terjadi pada kita? 
QUEST_20150414_001822	Menyewa lahan cukup menjadi beban… Sekarang tidak ada lagi orang yang dermawan. 
QUEST_20150414_001823	Itu bukan lelucon..
QUEST_20150414_001824	Memo dari seseorang
QUEST_20150414_001825	Tempat ini sudah gila. Satu satunya cara untuk menghilangkan kutukan dari Tree Root Crystal{nl}adalah dengan membakarnya. Harus dibakar sampai habis. 
QUEST_20150414_001826	Ketamakan dari baron yang mengirim orang-orang itu kesini. {nl}Tentu saja mereka tidak ada yang berhasil kembali. 
QUEST_20150414_001827	Aku menyaksikan semuanya dengan Wizards's eyes. {nl}Bahkan jeritan Vakarine dan Cupols miliknya. 
QUEST_20150414_001828	Itu tergantung dari seberapa besar keinginanmu untuk menyelamatkan Goddess. {nl}Kita bisa mencari waktu untuk membicarakan hal itu. 
QUEST_20150414_001829	Bukankah ada cara yang lebih efektif untuk memblokir monster..
QUEST_20150414_001830	Tidak mudah untuk mengolah tanaman di farm. {nl}Setidaknya monster disana sudah berkurang.
QUEST_20150414_001831	Sebelumnya mereka tidak pernah menyerang, namun sekarang menjadi liar dan buas. {nl}Apakah kamu pernah mendengar hal ini sebelumnya? 
QUEST_20150414_001832	Banyak cinta dan kasih sayang yang hilang jika bukan untukmu. {nl}Mengapa seseorang tega melakukan hal itu? 
QUEST_20150414_001833	Aku yakin ada seseorang yang membuat semua ini terjadi. {nl}Menyebarkan poison? Ebonpipon? Aku akan mengingatnya.  
QUEST_20150414_001834	Banyak hal aneh terjadi saat mencoba bercocok tanam di farm. {nl}Yaa, tapi lebih aneh lagi jika tidak terjadi apa-apa pada saat ini bukan. 
QUEST_20150414_001835	Aku kira kita tidak akan kekurangan tenaga pekerja karena dekat dengan Klaipeda. Sepertinya itu salahku. {nl}Yaa setidaknya kita punya prajurit untuk melawan monster-monster yang besar.
QUEST_20150414_001836	Menjaga farm cukup melelahkan. {nl}Berapa banyak lagi prajurit yang akan menjelajah Thorn Forest? 
QUEST_20150414_001837	Satu atau dua monster tidak masalah. {nl}Tapi aku khawatir jika segerombolan datang bersamaan.
QUEST_20150414_001838	Aku menjaga post disini. {nl}Lebih baik daripada Eastern Forest karena monster disini lebih sedikit{nl}tapi tidak ada pekerjaan yang mudah bukan.
QUEST_20150414_001839	Wajah rekanku menjadi pucat dan dia melarikan diri. Apa yang terjadi? 
QUEST_20150414_001840	Gorgon? Ya ampun.. Lihat, Aku melihatnya. 
QUEST_20150414_001841	Monster besar terlihat disekitar sini. Apakah kamu melihatnya? 
QUEST_20150414_001842	Aneh. Monster bersembunyi dijalan buntu seperti ini. {nl}Aku harus membuat laporan untuk hal ini..
QUEST_20150414_001843	Hasil panen dari sini akan dibawa ke Klaipeda. {nl}Aku dengar farm telah terkontaminasi oleh kekuatan jahat. 
QUEST_20150414_001844	Lahan ini baru saja mau digunakan jadi hanya aku yang bekerja disini. {nl}Aku bingung kapan mereka akan memanen di area seperti ini. 
QUEST_20150414_001845	Kamu mengalahkan Gorgon? {nl}Savior pasti sekuat pejuang legenda.
QUEST_20150414_001846	Satu tindakan yang salah maka kita akan musnah. {nl}Kami bisa kembali dengan selamat rasanya seperti Goddess telah kembali. 
QUEST_20150414_001847	Aku bisa saja melawan tapi semua rekanku kabur. {nl}Aku bisa menghadapi monster itu kapan saja..
QUEST_20150414_001848	Lain waktu, Aku akan bertempur di garis depan. {nl}Aku yakin bisa mengalahkannya. 
QUEST_20150414_001849	Mungkin akan menjadi berbahaya jika kamu tidak ada disini. {nl}Ada monster yang besar dekat Klaipeda. 
QUEST_20150414_001850	Gatus, dia suka menggertak tapi pasti kabur duluan.. {nl}
QUEST_20150414_001851	Bagaimana Gitis bisa berbohong pada kita? {nl}Dia bilang hanya ada monster yang jinak. 
QUEST_20150414_001852	Alan lebih parah lagi. {nl}Seharusnya dia bilang kalau itu adalah Gorgon.
QUEST_20150414_001853	Aku melihat pertarunganmu saat aku berlari dan itu sangat hebat. {nl}Apakah kamu sering bertarung dengan monster sekuat itu? 
QUEST_20150414_001854	Aku iri padamu. {nl}andai saja aku punya kemampuan sepertimu pasti aku sudah menjadi prajurit yang hebat. 
QUEST_20150414_001855	Aku merasa sakit.. Ughhh..
QUEST_20150414_001856	Aku masih merasa tidak enak tapi sekarang sudah lebih baik. {nl}Terima kasih banyak. 
QUEST_20150414_001857	Kamu membawa obat-obatan untuk kami? {nl}Goddess pasti akan memberkatimu. 
QUEST_20150414_001858	Hmm.. Apakah antidotenya sudah siap..?
QUEST_20150414_001859	Selamatkan aku..
QUEST_20150414_001860	Jika bukan karenamu, Mungkin aku sudah mati dan bertemu Goddess. {nl}Terima kasih banyak
QUEST_20150414_001861	Aku kehilangan kesadaran saat aku tahu itu adalah poison. {nl}Rasa sakit itu.. Aku tidak ingin memikirkannya lagi. 
