ITEM_20150317_000001	없음_helmet
ITEM_20150918_006380	피라콘 안쪽의 딱딱한 조각. 위저드 마스터가 부탁한 재료입니다.
ITEM_20150918_006381	드레이크 겉비늘 안쪽의 부드러운 비늘. 위저드 마스터가 부탁한 재료입니다.
ITEM_20150918_006382	페디미안과 클라페다의 현상을 비교하기 위한 목적으로 만든 스크롤입니다.
ITEM_20150918_006383	3층 어딘가에서 사용하면 숨겨진 것을 얻을 수 있습니다.
ITEM_20150918_006384	냄새가 엄청난 무언가의 덩어리. 안에 반지 비슷한게 비쳐보입니다.
ITEM_20150918_006385	바짝 잘 마른 나뭇가지. 언뜻 잔 가시가 보입니다.
ITEM_20150918_006386	앞으로의 작전에 대해 지도와 함께 상세히 적혀 있다. 읽어볼 수 있습니다.
ITEM_20150918_006387	기억의 파편을 만들기 위한 재료. 참 굵네요.
ITEM_20150918_006388	해진깃발숲 정찰 보고서. 마구 갈겨쓴 듯한 느낌이 섬뜩합니다. 읽어볼 순 있지만..
ITEM_20150918_006389	보급병의 숨겨둔 수통{nl}오래된 퀴퀴한 냄새가 납니다.
ITEM_20150918_006390	가이갈라스 공략에 꼭 필요한 재료. 퀴퀴한 냄새가 납니다.
ITEM_20150918_006391	가이갈라스 공략에 꼭 필요한 재료. 이끼가 잔뜩 끼어 있습니다.
ITEM_20150918_006392	리첸클롭스들이 좋아하는 금으로 만든 물건들. 열심히도 모았습니다.
ITEM_20150918_006393	펜, 종이, 발굴도구 등 연구를 위한 여러가지 도구와 약간의 식량이 들어 있습니다.
ITEM_20150918_006394	신경성 계통의 질환에 쓰이는 약초라고 합니다.
ITEM_20150918_006395	왕릉을 연구한 기록을 정리한 서류철. 읽어볼 수 있습니다.
ITEM_20150918_006396	왕릉을 연구한 기록을 정리한 서류철. 하지만 갈기갈기 찢어져 있습니다.
ITEM_20150918_006397	요나스가 일생을 바쳐 연구한 기록물. 읽어볼 수 있습니다.
ITEM_20150918_006398	다비오에게 부탁해서 구한 요나스의 약. 노망난 데엔 특효라고 합니다.
ITEM_20150918_006399	흡수 마법진을 생성해 진 위에서 몬스터 처치 시 마력을 충전합니다.
ITEM_20150918_006400	부베 습격병 비밀통로를 막기위한 폭탄입니다.
ITEM_20150918_006401	우드맨의 파편으로 움찔거리는 기분나쁜 움직임이 있습니다
ITEM_20150918_006402	합동조사단원 스캇이 보낸 수상한 움직임에 관한 보고서. 읽어볼 수 있습니다.
ITEM_20150918_006403	영혼을 수집할 수 있는 스크롤. 특정 몬스터에게만 가능합니다.
ITEM_20150918_006404	붉은 부베 궁수의 정신체가 봉인된 구슬입니다.
ITEM_20150918_006405	부엉이 조각상의 윗 부분. 안타깝게도 복구는 힘들 것 같습니다.
ITEM_20150918_006406	부엉이 조각상의 아랫 부분. 형체를 간신히 알아볼 수 있을 정도입니다.
ITEM_20150918_006407	부엉이 조각상의 받침대 부분. 반토막나기 직전입니다.
ITEM_20150918_006408	안타깝게 부숴진 부엉이 조각상을 태우기 위한 특별한 기름입니다.
ITEM_20150918_006409	소량의 곡물만 남은 곡물 상자. 엉망진창으로 뜯겨져 있습니다.
ITEM_20150918_006410	이상한 약이 가득 담긴 주머니. 부베가 먹으면 매우 용감해지지만 사람이 먹으면 복통을 유발한다고 합니다.
ITEM_20150918_006411	별의 탑에서 사용 되었다는 망원경 렌즈입니다.
ITEM_20150918_006412	박쥐에게서 추출한 독 견본입니다.
ITEM_20150918_006413	호그마들이 지니고 있는 돌. 몬스터를 불러온다고 합니다.
ITEM_20150918_006414	프리드카는 이 호신부가 유적의 비밀을 풀기 위한 열쇠라고 믿고 있습니다.
ITEM_20150918_006415	린트가 소속된 부대의 보급품. 웬디고가 훔쳐 달아나버렸습니다.
ITEM_20150918_006416	진통제 대신으로 쓸 만한 약초라고 합니다.
ITEM_20150918_006417	이걸로 사우가스를 유인할 수 있다는데 사실일까요?
ITEM_20150918_006418	덴옵틱이 삼킨 유물의 파편. 돌을 먹는 몬스터라니 이상합니다.
ITEM_20150918_006419	물품 주머니, 도굴꾼 쿠쟝이 도굴꾼 부쇼벨에게 전해달라고 부탁한 보수입니다.
ITEM_20150918_006420	몬스터들이 사람들을 해치고 빼앗은 물건들입니다.
ITEM_20150918_006421	잎방개가 훔쳐간 정찰병의 짐. 한 두번 훔쳐간 게 아닌 것 같습니다.
ITEM_20150918_006422	찢겨진 부베의 옷 조각. 허리춤의 지저분한 부분입니다.
ITEM_20150918_006423	위버 발톱도 모아 놓으면 쓸 데가 있다고 합니다.
ITEM_20150918_006424	광산 마을에 사고가 날 경우를 대비해 모아 놓은 구호품입니다.
ITEM_20150918_006425	광산 외벽을 보강하는데 필요한 자재. 무너지기 전에 빨리 모아 주세요.
ITEM_20150918_006426	세콰이아를 쫓아내려고 만든 꼬챙이. 신성한 기운이 조금 깃들어 있습니다.
ITEM_20150918_006427	길을 막고 있는 세콰이아를 쫓아내기 위한 도구를 만들기 위한 재료. 신성한 힘이 미약하게 느껴집니다.
ITEM_20150918_006428	무명용사들의 정수. 세콰이아에게 강력한 한방을 먹이기 위해 꼭 필요합니다.
ITEM_20150918_006429	따끔한 꼬챙이를 보강하여 만든 꼬챙이. 이걸로 세콰이아가 더 이상 날뛸 수 없게 할 수 있다고 합니다.
ITEM_20150918_006430	영혼의 기억을 머금고 있는 미듀자 유충. 반짝반짝 거립니다.
ITEM_20150918_006431	죽은 상인이 가지고 있던 짐꾸러미. 상인의 영혼은 이 짐꾸러미에 집착하고 있습니다.
ITEM_20150918_006432	수호용 주문서. 학자의 영혼은 이 주문서를 사용하지 못하고 죽은 것 같습니다.
ITEM_20150918_006433	여류 탐험가가 찾던 추모비를 탁본한 사본. 아름다운 노랫 구절이 적혀 있습니다.
ITEM_20150918_006434	영력이 깃든 꼬챙이를 보강한 꼬챙이. 부엉이 조각상들의 원념이 담겨 있습니다.
ITEM_20150918_006435	몬스터들에게 당한 병사들의 유품. 이걸로 병사들의 넋을 달랠 수 있을 것 같습니다.
ITEM_20150918_006436	고향의 향이 생각나게 하는 향. 왠지 그립습니다.
ITEM_20150918_006437	뭔가 기묘한 냄새가 나는 리디메드의 잎사귀.
ITEM_20150918_006438	굉장한 냄새가 나는 즙이 뿜어져 나옵니다.
ITEM_20150918_006439	죽은 병사들의 마지막 임무를 위한 몬스터 미끼.
ITEM_20150918_006440	잘 듣는지 몬스터에게 미리 몬스터에게 시험해 보세요.
ITEM_20150918_006441	늙은 케파의 껍질. 가루가 풀풀 날립니다.
ITEM_20150918_006442	미끼를 좀 더 그럴듯하게 보이기 위해 필요합니다. 잘 속일 수 있을까요?
ITEM_20150918_006443	요한의 분대원들의 유해. 잘 수습해 주세요.
ITEM_20150918_006444	병사 로이가 모아야 할 갈고리. 이걸 빨리 모아야 로이가 복귀할 수 있습니다.
ITEM_20150918_006445	피에 젖어 내용이 잘 보이지 않는다. 일부는 읽어 볼 수 있을 것 같습니다.
ITEM_20150918_006446	수레를 수리하기 위해 필요한 재료. 하밍의 줄기 중 단단한 부분만 잘라냈습니다.
ITEM_20150918_006447	티니의 분비샘에서 모은 분비액. 약간 따끔합니다.
ITEM_20150918_006448	티니의 분비액으로 만든 제초제. 이걸로 가시덤불을 없앨 수 있다고 했습니다.
ITEM_20150918_006449	무사히 훈련을 마친 병사에게 수여되는 수료증. 자랑스럽게 읽어보세요.
ITEM_20150918_006450	질경이 풀의 부드러운 부분만 모은 것. 씹으면 쓴 맛이 납니다.
ITEM_20150918_006451	부베들이 훔쳐가 버린 빈 포션병. 열심히 닦았는지 반짝거립니다.
ITEM_20150918_006452	소드마스터에게 실력을 증명하기 위한 전리품. 스톤오르카의 심장입니다.
ITEM_20150918_006453	다친 사람들을 치료하는데 쓸 부베들의 고약. 그냥은 쓸 수 없을 것 같습니다.
ITEM_20150918_006454	수호자들이 마족들을 색출하여 공격하게 명령하던 석판. 지금은 파괴되어 침입자 모두를 공격합니다.
ITEM_20150918_006455	석등을 켤 수 있는 돌. 불타고 있지만 뜨겁진 않습니다.
ITEM_20150918_006456	억제기에 과도하게 사용하면 억제기가 과열되어 부서지게 된다고 합니다.
ITEM_20150918_006457	휠렌이 지니고 있는 증표. 모으면 사악한 무리에 대적할 힘을 줍니다.
ITEM_20150918_006458	코벤이 찾아달라던 형님의 일지입니다.
ITEM_20150918_006459	코카트리스를 처치하고 채취한 지방 덩어리.
ITEM_20150918_006460	할로우벤터에게서 찾아낸 목탄.
ITEM_20150918_006461	설치하면 주변의 마력을 흡수합니다.
ITEM_20150918_006462	타라 마일즈는 병을 옮길지도 모르는 원인중의 하나라고 합니다.
ITEM_20150918_006463	몬스터의 생명력을 담을 수 있는 보석. 적당한 범위 내에 처치된 몬스터의 생명력을 흡수해 버립니다.
ITEM_20150918_006464	자카리엘 왕의 봉인을 푸는 데 필요한 스크롤. 첫 번째 봉인입니다.
ITEM_20150918_006465	불의 힘을 가진 몬스터라면 누구든 가지고 있는 근원. 홍염의 보석을 만드는데 쓰입니다.
ITEM_20150918_006466	불의 단지를 찾는데 용이하다만 어째서 그리타가 가지고 있을까요?
ITEM_20150918_006467	몬스터가 훔쳐간 연구자료. 연구자료는 몬스터에 의한 도난이 유독 잦은 것 같습니다.
ITEM_20150918_006468	위조품을 만드는데 사용할 딱딱한 석회. 이걸로 본을 뜨는 건가 봅니다.
ITEM_20150918_006469	위조의 결정적인 증거가 될 위조품. 아직 마무리가 남았습니다.
ITEM_20150918_006470	멋진 문양이 담겨 있는 건축물 조각. 엄청나게 공을 들인 것 같습니다.
ITEM_20150918_006471	땅 속에 무엇이 들어 있는지 알 수 있는 꼬챙이 등 다양한 도구가 들어 있습니다.
ITEM_20150918_006472	사우가들이 전리품을 넣고 다니는 주머니. 사우가들은 전리품을 공평하게 나눠갖는다고 합니다.
ITEM_20150918_006473	아주 오래되어 보이는 고고학자의 징표.
ITEM_20150918_006474	강력한 독성을 지닌 우드펑의 독. 영기가 서린 독에 움찔거리며 반응을 합니다.
ITEM_20150918_006475	몬스터의 손이 들어있는 자루.
ITEM_20150918_006476	사령술사의 실험에 필요한 리자드맨의 피.
ITEM_20150918_006477	사령술사 드라슈스가 준 마법 항아리. 곧 죽을 것 같은 몬스터들을 빨아들입니다.
ITEM_20150918_006478	자카리엘 대왕이 준비한 시련을 통과했다는 증표. 왕릉의 봉인과 관련이 있어 보입니다.
ITEM_20150918_006479	이가 빠진 칼입니다.
ITEM_20150918_006480	시신의 신원을 알 수도 있는 유품.
ITEM_20150918_006481	이가 빠진 부분과 딱 맞는 조각.
ITEM_20150918_006482	케이힐이 쌓아놓은 목재 중 쓸만한 것을 골랐습니다.
ITEM_20150918_006483	여러 가지 가죽 제품에 쓰이는 가죽. 날것이지만 바로 쓸 수 있다는 게 장점입니다.
ITEM_20150918_006484	모제 디셀의 마음이 담긴 편지.
ITEM_20150918_006485	모제 디셀이 마을 청년 케이힐을 위해서 만든 목발.
ITEM_20150918_006486	봉인을 풀기 위해 아힐라스 요나스가 요구한 첫 번째 재료.
ITEM_20150918_006487	결정석을 만들기 위한 재료.
ITEM_20150918_006488	람스티스 협곡의 봉인을 해제하는데 필요한 결정석.
ITEM_20150918_006489	신입 왕릉 연구원이 잃어버린 연구 자료. 누가 밟았는지 글자가 군데군데 뭉개져 있습니다. 간신히 읽어볼 수는 있습니다.
ITEM_20150918_006490	드디어 자카리엘 대왕이 숨겨둔 유산을 찾을 수 있는 것일까요.
ITEM_20150918_006491	스콜피온의 독을 중화시킬 수 있는 해독제. 어서 데지크에게 갖다 주세요.
ITEM_20150918_006492	건드리면 폭발할 것 같은 마력의 응집원. 조심히 다뤄주세요.
ITEM_20150918_006493	인프로버크를 처치해서 획득한 고기. 질겨 보입니다.
ITEM_20150918_006494	트리암불로의 잔해들. 장작으로 사용할 수 있을 것 같습니다.
ITEM_20150918_006495	묘지 골렘과 구리에게서 되찾은 리디아 샤펜의 비석.
ITEM_20150918_006496	비석 거북에게서 얻은 비석 조각. 조각을 전부 맞춰야 비석의 내용을 제대로 볼수 있습니다.
ITEM_20150918_006497	드디어 복원을 마쳤다. 어떤 내용이 담겨 있을까요?
ITEM_20150918_006498	타마가 주워 먹은 플러리의 비문.
ITEM_20150918_006499	잡동사니가 들어있는 짐가방.
ITEM_20150918_006500	양피지의 잉크 흔적을 또렷하게 만들어 주는 마법의 흑탄 가루.
ITEM_20150918_006501	설명서의 봉인을 풀 때 필요한 재료. 아무리 밟아도 꺼지지 않습니다.
ITEM_20150918_006502	영혼을 담을 성궤가 산산히 부숴져 있다. 조각만 모으면 되는 걸까요.
ITEM_20150918_006503	수상한 의자가 모아오라고 한 몬스터 사리. 사리라고 하기엔 무리가 있긴 합니다.
ITEM_20150918_006504	봉인석에 봉인된 영혼의 목소리. 뭔가 소리가 나는 것 같은데요?
ITEM_20150918_006505	봉인된 영혼이 달아나지 않도록 속박하고 있는 마력의 결정.
ITEM_20150918_006506	변이술사 퍼리 오드가 구해 달라고 부탁한 변이 매개 물질.
ITEM_20150918_006507	이도 저도 아닌, 아무렇게나 타 버린 결정.
ITEM_20150918_006508	불타는 부적. 몬스터의 뱃속에서 나와서 그런가 축축하고 냄새가 납니다.
ITEM_20150918_006509	사이먼 쇼우의 문신에 사용되는 은색의 염료. 비교적 구하기 쉽습니다.
ITEM_20150918_006510	코델리어가 건네 준 양피지. 흑탄가루는 잘 붙어 있지만 색이 너무 어두워서 글씨가 보이지 않습니다.
ITEM_20150918_006511	붉은 인프로 락터를 움직이게 하는 동력원. 마력을 쓸 수 없는 그리타에게 필요합니다.
ITEM_20150918_006512	홍염의 보석을 안정시키는데 필요하다고 합니다.
ITEM_20150918_006513	가시 덩굴을 없앨 방법이 적힌 메모지. 읽어서 숙지하세요.
ITEM_20150918_006514	신성한 마력의 힘으로 가시덩굴을 없애기 위해 필요한 수정. 충전과 정제 과정이 필요합니다.
ITEM_20150918_006515	불에 아주 잘 타는 던볼의 잔해. 비가 와도 문제 없습니다.
ITEM_20150918_006516	발톱의 끝에서 신 냄새가 나오는 액체가 흘러나옵니다.
ITEM_20150918_006517	트리펠리 털에 기생하는 미니 그리바를 내쫓는데 유용한 액체.
ITEM_20150918_006518	아델레가 소중히 여기는 반지. 아델레에게 돌려 주세요.
ITEM_20150918_006519	가시 줄기를 녹일 정도의 강한 산성을 지닌 산성 용액.
ITEM_20150918_006520	탁한 마력수정을 정화시켜 줄 힘을 지닌 오페러의 침.
ITEM_20150918_006521	완전히 정화된 마력 수정. 이것으로 길을 막고 있는 가시 덩굴을 없앨 수 있습니다.
ITEM_20150918_006522	휘발성이 강한 수액. 비에 젖은 가시덩굴을 불태우려면 꼭 필요합니다.
ITEM_20150918_006523	정신을 되찾을 때 효력이 있다는 약.
ITEM_20150918_006524	코릴러스를 처치하고 얻은 힘의 결정. 빛의 결정을 만드는데 쓰입니다.
ITEM_20150918_006525	지하 결계를 활성화 시킬 수 있는 충전제.
ITEM_20150918_006526	시르드겔라 숲 지역을 한 눈에 볼 수 있는 지도. 중간 중간에 표시가 되어 있습니다.
ITEM_20150918_006527	악한 기운을 내쫓는데 유용한 가시 꽃가루.
ITEM_20150918_006528	케이블 카 레버의 손잡이 부분을 단단히 고정시키는 고정쇠.
ITEM_20150918_006529	몬스터들이 가지고 있던, 톱니 바퀴 보양의 부속품. 케이블 카의 부품임이 틀림 없습니다.
ITEM_20150918_006530	단맛이 가득한 고원 특산 사탕무. 어린 짐승들이 좋아합니다.
ITEM_20150918_006531	파괴된 케이블카 주변에서 습득한 부품.
ITEM_20150918_006532	탁한 기운에 오염이 될 때 사용하면 효력이 있는 약.
ITEM_20150918_006533	악한 기운을 내쫓는데 유용한 푸른 프라가라스의 진액.
ITEM_20150918_006534	판토 마법사가 지니고 다니는 의식용 밧줄.
ITEM_20150918_006535	머슈카리아를 처치하고 목덜미에서 얻어낸 갈기.
ITEM_20150918_006536	제스티를 물리칠 때 사용할 전설의 성구. 아직은 사용할 때가 아닌 듯 보입니다.
ITEM_20150918_006537	제스티를 물리칠 때 사용할 전설의 성구. 사용 가능한 수준까지 어느정도의 충전이 더 필요합니다.
ITEM_20150918_006538	제스티를 물리칠 때 사용할 전설의 성구. 사용할 준비가 다 되었습니다.
ITEM_20150918_006539	주술인형을 담은 촉매. 이것을 사용하면 주술인형이 나타납니다.
ITEM_20150918_006540	케빈이 건네 준 위조품. 아직 마무리가 필요합니다.
ITEM_20150918_006541	몬스터에게 사용하면 힘을 약화시킬 수 있습니다.
ITEM_20150918_006542	성당 지상 2층 중앙 제단의 부서진 조각.
ITEM_20150918_006543	사용하면 10초간 마족들에게 사용자의 모습이 보이지 않습니다. 공격하거나 공격받으면 해당 효과가 사라집니다.
ITEM_20150918_006544	사용하면 주변 마족을 닮은 성령이 등장하여 마족 몬스터들을 도발합니다.
ITEM_20150918_006545	계시와 숨겨진 장소를 찾을 수 있는 특별한 열쇠.
ITEM_20150918_006546	가시 꽃 가루 각성제에 섞이면 강력한 각성 효과를 냅니다.
ITEM_20150918_006547	가시 꽃가루 각성제보다 강력한 효과를 냅니다.
ITEM_20150918_006548	메로그의 침과 섞이면 강력한 각성효과를 냅니다
ITEM_20150918_006549	엘리멘탈리스트 마스터가 자격을 증명하기 위해 요구한 재료.
ITEM_20150918_006550	영력이 깃든 담수를 받기 위한 용기.
ITEM_20150918_006551	부착한 적이 죽으면 우리 편으로 세뇌되어 되살아 난다만.. 뭔가 허술해 보입니다.
ITEM_20150918_006552	왕릉을 흐르는 마력을 가득 담은 항아리.
ITEM_20150918_006553	오벨리스크에 문자를 다시 새겨넣을 때 필요한 재료. 강한 산성을 띄고 있습니다.
ITEM_20150918_006554	비에타 계곡의 검은 마이즈를 기절시킬 수 있는 마비가루.
ITEM_20150918_006555	오벨리스크에 문자를 다시 새겨넣을 때 필요한 물감의 재료. 새까맣습니다.
ITEM_20150918_006556	오벨리스크에 문자를 다시 새겨넣을 때 필요한 재료. 굉장히 끈적거립니다.
ITEM_20150918_006557	마족 몬스터에게 성스러운 팔라딘의 상징을 새겨넣는 스크롤.
ITEM_20150918_006558	신전의 성스러운 기운이 남아있습니다.
ITEM_20150918_006559	사울레 여신이 묶여 있는 마족의 구속구를 해제하기 위한 열쇠.
ITEM_20150918_006560	여신상을 보수할 때 사용하는 향유. 독특하면서도 은은한 향이 특징입니다.
ITEM_20150918_006561	여신상을 보수할 때 사용하는 향유. 독특하면서도 은은한 향이 특징입니.
ITEM_20150918_006562	가죽으로 만든 모든 제품의 광택과 보호에 뛰어난 효과가 있습니다.
ITEM_20150918_006563	배가 항구에 들어오려면 반드시 필요한 허가서. 읽어볼 수 있습니다.
ITEM_20150918_006564	항해를 떠나려면 꼭 필요한 지도. 해류와 바람의 방향이 적혀 있습니다.
ITEM_20150918_006565	이건 무슨 계약서일까요?
ITEM_20150918_006566	모야에게서 갓 뽑아낸 따끈따끈한 체액 샘플.
ITEM_20150918_006567	플레쳐 마스터가 만들어 준 화살 견본. 밸런스가 잘 잡혀 있습니다.
ITEM_20150918_006568	플레쳐 마스터가 찾는 나무. 두들기면 맑은 소리가 들립니다.
ITEM_20150918_006569	피셔맨이 애지중지하는 나무로 만든 낚시대. 이 중에 맑은 소리가 나는 나무가 있습니다. 두들겨서 확인해 보세요.
ITEM_20150918_006570	신경독을 발사할 수 있는 간이 대롱.
ITEM_20150918_006571	스타울리트의 체내에 있는 특별한 독. 간이 대롱의 신경독에만 반응합니다.
ITEM_20150918_006572	센츄리온 입문자를 위해 아주 쉽게 쓰여진 병법서, 숙련되지 않은 사람은 이해하기 힘듭니다
ITEM_20150918_006573	스카우트들이 즐겨 사용하는 섬광탄. 숨어있는 몬스터를 찾는 데 쓰인다고 합니다.
ITEM_20150918_006574	쿼렐슈터 마스터가 시험의 일환으로 부탁한 리디야 샤펜의 탁본.
ITEM_20150918_006575	매우 강력한 저주에 걸려 있는 보석. 누군가를 계속 부르는 듯 합니다.
ITEM_20150918_006576	모스템으로부터 획득한 불항아리. 모스템이 애지중지 한다고 합니다.
ITEM_20150918_006577	푸른 피셔맨의 뼈. 작아서 잘 집히지 않습니다.
ITEM_20150918_006578	굉장히 기분 나쁩니다.
ITEM_20150918_006579	하르피아의 부리. 굉장히 날카롭습니다.
ITEM_20150918_006580	위기상황에서 적들을 따돌리는데 용이합니다. 펑!
ITEM_20150918_006581	올가미가 달린 포승줄. 적에게 던져 옭아매는데 쓰입니다.
ITEM_20150918_006582	새퍼 마스터가 하이랜더 마스터에게 보여주라고 한 소개장.
ITEM_20150918_006583	하이랜더 마스터가 당신의 전직을 위해 준비해준 확인증.
ITEM_20150918_006584	타누가 속에 품고 있는 정화의 능력을 가진 구슬.
ITEM_20150918_006585	협곡 메토스에서 뽑아낸 진액. 정신이 오락가락하는 증상을 완화시키기 위한 약의 재료로 쓰입니다.
ITEM_20150918_006586	케펙이 하라는 대로 베껴 쓴 유물의 기록. 모양과 크기를 기록하면 될 것 같습니다.
ITEM_20150918_006587	시신에서 발견된 찢어진 편지. 유품을 전해줄 곳이 어딘지 찾아보세요.
ITEM_20150918_006588	전설의 도둑 즈벡의 비기가 담긴 스크롤입니다. 사용하면 스탯 포인트를 1만큼 얻습니다.
ITEM_20150918_006589	불의 기운을 담을 수 있는 보석. 여신 가비야에게 어떻게든 도움이 될 것입니다.
ITEM_20150918_006590	몸이 나른해지는 풀.
ITEM_20150918_006591	향이 매우 강한 꽃. 영혼이 깃들어 있다는 설이 있습니다.
ITEM_20150918_006592	안데일 마을에서 몬스터를 막을 용도로 만들어 둔 폭약.
ITEM_20150918_006593	나른초의 나른해지는 성분을 강화시킨 폭탄.
ITEM_20150918_006594	스파르나스를 유인할 때 사용할 미끼. 오래된 곡식을 뭉쳐서 만들었습니다.
ITEM_20150918_006595	보급관이 다뉴스 부대에 먼저 갖다줄 것을 요청한 간이 보급품.
ITEM_20150918_006596	부베들의 약탈해 갔던 보급품 주머니. 부베들의 이상행동에 대한 단서가 될 수도 있으니 유커트에게 갖다 주세요.
ITEM_20150918_006597	더키의 냄새가 요동치는 기름.
ITEM_20150918_006598	허수아비를 수리하는 공구가 잔뜩 들어있습니다.
ITEM_20150918_006599	채퍼리션이 가지고 있던 표식. 억울한 원혼의 목소리가 들리는 듯 합니다.
ITEM_20150918_006600	영혼이 자신의 동생에게 전해달라고 부탁한 목걸이. 수수한 펜던트가 달려 있습니다.
ITEM_20150918_006601	돈이 잔뜩 든 자루. 리퍼는 도대체 무얼 한 걸까요.
ITEM_20150918_006602	심부름꾼의 쪽지. 읽지 말라곤 했는데.. 읽어 볼까요?
ITEM_20150918_006603	왕릉을 연구하다 죽은 이들을 달래기 위한 내용이 적혀 있습니다.
ITEM_20150918_006604	여기저기에 흩어져 있는 마법서의 낱장. 저자는 사이먼 쇼우입니다.
ITEM_20150918_006605	몬스터가 삼켜 버린 순례자들의 표식. 표식의 주인들은 주변엔 없는 것 같습니다.
ITEM_20150918_006606	코벤이 상자 열쇠라며 건네 준 것. 이 열쇠에 맞는 상자를 찾아 보세요.
ITEM_20150918_006607	연습용 목인이 완전히 부숴져 버렸습니다.
ITEM_20150918_006608	부숴진 연습용 목인을 수리하였습니다. 더 튼튼하게 보강도 하였습니다.
ITEM_20150918_006609	연습용 목인을 수리하는데 필요한 목재.
ITEM_20150918_006610	연습용 목인을 고치는데 필요한 밧줄.
ITEM_20150918_006611	잠든 부엉이들을 깨워 가이갈라스를 처치하는데 필요한 주문을 완성시킬수 있는 구슬.
ITEM_20150918_006612	불안정한 상태의 성구. 이대론 사용할 수 없습니다.
ITEM_20150918_006613	록소나 장터의 미노타우르스에게서 얻은 거대한 송곳니.
ITEM_20150918_006614	새퍼 마스터가 새로이 구상한 함정을 만드는데 필요한 재료.
ITEM_20150918_006615	잃어버린 르귄가문의 장식. 화려한 장미 장식이 돋보입니다.
ITEM_20150918_006616	크리비들이 신앙의 상징으로 소중하게 여기는 성물. 중심시가에서 그만 잃어버리고 말았습니다.
ITEM_20150918_006617	조각가 테슬라가 요청한 조각 재료. 결이 곱습니다.
ITEM_20150918_006618	파드너의 문장이 찍힌 헌금 주머니.
ITEM_20150918_006619	말리를 처치하고 얻은 말리의 씨앗.
ITEM_20150918_006620	파괴용 주술인형을 소환할 수 있는 주문서.
ITEM_20150918_006621	파괴된 마자즈 쉼터 결계의 조각. 복구할 수 있을까요?
ITEM_20150918_006622	네펜더스를 어떻게든 깨우기 위해 필요한 재료. 이대로는 불이 붙지 않습니다.
ITEM_20150918_006623	말라두의 지방이 불에 잘 탈 수 있도록 갈무리했다. 이걸로 네펜데스를 깨우세요.
ITEM_20150918_006624	네펜더스가 살아있을 때에 채취해야 효과가 있습니다.
ITEM_20150918_006625	비테레지나를 유인하기 위한 분비샘.
ITEM_20150918_006626	부착한 적이 죽으면 우리 편으로 세뇌되어 되살아납니다!
ITEM_20150918_006627	수정광산에서 발견된 첫 번째 계시. 읽어 볼 수 있습니다.
ITEM_20150918_006628	로델린의 눈. 이걸로 기척을 지울 수 있다고 합니다.
ITEM_20150918_006629	성령폭탄을 만들기 위한 재료. 정화해야 쓸 수 있습니다.
ITEM_20150918_006630	성령폭탄을 만들기 위한 재료. 사악한 정수를 정화하였습니다.
ITEM_20150918_006631	마시면 당분간 마족에게 발각되지 않습니다!
ITEM_20150918_006632	성력이 깃든 폭탄. 글리자돈을 일격에 처치할 수 있습니다.
ITEM_20150918_006633	스크롤을 사용하면 목걸이를 가진 호그마를 구분할 수 있습니다.
ITEM_20150918_006634	뒷 면에 ..랑했던 루클..스 에게, 리디아가. 라고 새겨져 있습니다.
ITEM_20150918_006635	폰델과 폰드를 처치하고 얻은 옷자락. 마족 변신 스크롤을 만들 재료입니다.
ITEM_20150918_006636	물을 담던 양동이. 줄에 매달아 쓸 수 있을 것 같습니다.
ITEM_20150918_006637	상당히 긴 줄. 무언가 매달아 쓸 수 있을 것 같습니다.
ITEM_20150918_006638	사용하면 폰델이나 폰드 중 하나로 변신할 수 있습니다.
ITEM_20150918_006639	힘의 결정을 가공하여 만든 빛의 기운이 충만한 결정. 성당 정문의 마족 결계를 해제할 수 있습니다.
ITEM_20150918_006640	누군가가 오래 전 떨어뜨린, 낡고 흙투성이의 목걸이.
ITEM_20150918_006641	하이 부베 궁수가 가지고 있던 나무 화살. 불쏘시개로 좋을 것 같습니다.
ITEM_20150918_006642	첫 번째 비석 조각을 찾기 위한 조잡한 탐사막대의 재료. 충분히 모아서 가공해야 합니다.
ITEM_20150918_006643	땅 속 어딘가에 숨어있는 첫 번째 비석 조각을 찾기 위한 탐사막대. 힘을 조금만 가하면 부러질듯 약해 보입니다.
ITEM_20150918_006644	잡상인 에당이 부탁한 몽당 나무의 수액. 약효가 뛰어나서 금전적 가치가 높은 물건.
ITEM_20150918_006645	트리암블로의 수액을 받아내기 위한 도구.
ITEM_20150918_006646	유실된 루클리스 기념비의 첫 번째 조각.
ITEM_20150918_006647	유실된 루클리스 기념비의 두 번째 조각.
ITEM_20150918_006648	유실된 루클리스 기념비의 세 번째 조각.
ITEM_20150918_006649	유실된 루클리스 기념비의 네 번째 조각.
ITEM_20150918_006650	유실된 루클리스 기념비의 다섯 번째 조각이 섞여 있는 파편조각.
ITEM_20150918_006651	유실된 루클리스 기념비의 완성된 조각.
ITEM_20150918_006652	뭔가 알아 볼 수 없는 글씨가 쓰여져 있습니다.
ITEM_20150918_006653	테넷 성당에서 발견된 두 번째 계시. 읽어 볼 수 있습니다.
ITEM_20150918_006654	보물사냥꾼 에당이 금석학자 레이몬드에게 전달해 달라고 부탁한 꾸러미.
ITEM_20150918_006655	금석학자 스미드가 복원하기 쉽도록 정리해준 조각.
ITEM_20150918_006656	첫 번째 리디아 샤펜의 비석 탁본. 읽어 보세요.
