QUEST_LV_0200_20150317_000001	필리파스 직속 부대원
QUEST_LV_0200_20150401_006041	마군주 블룻을 처치하는데 성공했습니다. 큐폴 지드로네와 대화하세요.
QUEST_LV_0200_20150401_006042	{memo X}큐폴 메데이나와 대화
QUEST_LV_0200_20150401_006043	{memo X}쉬르티스 감시 통로에 있는 큐폴 메데이나는 매우 심각해 보입니다. 큐폴 메네이나와 대화해 보세요.
QUEST_LV_0200_20150401_006044	{memo X}누아엘레의 수하 마족 처치
QUEST_LV_0200_20150401_006045	{memo X}큐폴 메데이나는 누아엘레의 권세를 꺾어야 여신의 결계가 안정될 수 있다고 합니다. 누아엘레의 수하 마족들을 처치하세요.
QUEST_LV_0200_20150401_006046	{memo X}누아엘레의 수하 마족들을 처치했습니다. 큐폴 메데이나에게 돌아가 보고하세요.
QUEST_LV_0200_20150401_006047	{memo X}큐폴 메데이나는 뭔가 더 좋은 방법이 떠오른 것 같습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006048	{memo X}누아엘레의 수하들 중 일부는 원래 하우벅의 부하들로 예전에 하우벅에게 힘이 깃든 갈기를 받은 적이 있다고 합니다. 제 2격리구에서 누아엘레의 수하들을 처치하고 하우벅의 무성한 갈기를 획득하세요.
QUEST_LV_0200_20150401_006049	{memo X}하우벅의 갈기를 모두 되찾았습니다. 큐폴 메데이나에게 전해 주세요.
QUEST_LV_0200_20150401_006050	{memo X}큐폴 메데이나는 뭔가 찜찜한 게 짚히는 듯 싶습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006051	누아엘레의 계획 심문
QUEST_LV_0200_20150401_006052	{memo X}제 3 격리구의 마족들에게 메데이나의 강령구슬을 사용한 뒤 제압하여 누아엘레의 계획을 알아내세요.
QUEST_LV_0200_20150401_006053	{memo X}누아엘레의 계획을 알아내었습니다. 큐폴 메데이나에게 누아엘레의 계획을 알려주세요.
QUEST_LV_0200_20150401_006054	{memo X}누아엘레의 계획을 파악했습니다. 이제 무엇을 해야 할 지 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006055	{memo X}누아엘레의 수하 *몬스터 처치
QUEST_LV_0200_20150401_006056	{memo X}큐폴 메데이나는 먼저 누아엘레의 가장 강하고 충성스러운 부하를 처치하자고 합니다. 제 4 격리구에 있는 누아엘레의 수하 *몬스터를 처치하세요.
QUEST_LV_0200_20150401_006057	{memo X}누아엘레의 수하 *몬스터를 처치하는데 성공하였습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006058	{memo X}누아엘레를 처단할 모든 준비를 마쳤습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006059	{memo X}마군주 누아엘레 처단
QUEST_LV_0200_20150401_006060	큐폴 알도나를 만나 누아엘레의 영역으로 가서 마군주 누아엘레를 처단하세요.
QUEST_LV_0200_20150401_006061	마군주 누아엘레를 처단하는데 성공했습니다. 큐폴 메데이아와 대화해 보세요.
QUEST_LV_0200_20150401_006062	바카리네는 디오니스에게 씌워진 강력한 힘을 거두려면 저녁별 열쇠를 완성해야 한다고 합니다. 열쇠를 완성하기 위해 큐폴 지드로네에게 찾아가세요.
QUEST_LV_0200_20150401_006063	작은 전이 틈새 제거
QUEST_LV_0200_20150401_006064	큐폴 지드로네는 저녁별 열쇠 충전을 방해하는 작은 전이 틈새를 제거해 달라고 부탁했습니다.
QUEST_LV_0200_20150401_006065	작은 전이 틈새를 전부 제거했습니다. 큐폴 지드로네에게 이 사실을 알려 주세요.
QUEST_LV_0200_20150401_006066	저녁별 열쇠를 충전할 준비를 마쳤습니다. 큐폴 지드로네와 대화해 보세요.
QUEST_LV_0200_20150401_006067	큐폴 지드로네 보호
QUEST_LV_0200_20150401_006068	큐폴 지드로네는 저녁별 열쇠에 여신의 힘을 담는 동안 마족들로부터 자신을 보호해 달라고 부탁했습니다.
QUEST_LV_0200_20150401_006069	저녁별 열쇠가 전부 충전될때까지 큐폴 지드로네를 잘 지켰습니다. 큐폴 지드로네와 대화해 보세요.
QUEST_LV_0200_20150401_006070	큐폴 지드로네는 디오니스를 막아내고 있는 큐폴 알도나에게 빨리 저녁별 열쇠를 전해 달라고 했습니다.
QUEST_LV_0200_20150401_006071	봉인 해제
QUEST_LV_0200_20150401_006072	저녁별 열쇠를 사용하여 르알다, 카사, 라다 봉인을 해제해 여신의 힘을 해방하세요.
QUEST_LV_0200_20150401_006073	봉인을 전부 풀고 여신의 힘을 해방하였습니다. 큐폴 알도나에게 돌아가 대화하세요.
QUEST_LV_0200_20150401_006074	디오니스에게서 강력한 힘을 거둘 준비를 마쳤습니다. 큐폴 알도나와 대화해 보세요.
QUEST_LV_0200_20150401_006075	큐폴 알도나가 디오니스에게서 강력한 힘을 거둘 수 있도록 디오니스를 제압해 주세요.
QUEST_LV_0200_20150401_006076	하우벅이 디오니스에게 봉인되어 있던 강력한 힘을 가지고 달아났습니다. 큐폴 알도나와 대화하세요.
QUEST_LV_0200_20150401_006077	하우벅이 디오니스에게 봉인된 강력한 힘을 가지고 달아났습니다. 어떻게 해야 할지 큐폴 알도나와 다시 대화해 보세요.
QUEST_LV_0200_20150401_006078	마군주 하우벅이 디오니스에게 씌워진 강력한 힘을 가지고 달아났다는 사실을 여신 바카리네에게 전해 주고 어떻게 해야할지에 대해 논의하세요.
QUEST_LV_0200_20150401_006079	환원의 사슬을 들고 도망친 하우벅을 추적해야 합니다. 마족수감소 4구역의 큐폴 다이바를 찾아가세요.
QUEST_LV_0200_20150401_006080	마군주 하우벅 추적
QUEST_LV_0200_20150401_006081	큐폴 다이바는 하우벅이 노리는 것은 약해진 여신의 결계일 것이라고 합니다. 네비라우 붕괴구에서 여신의 결계를 파괴하고 있는 마군주 하우벅을 저지하세요.
QUEST_LV_0200_20150401_006082	마군주 하우벅을 놓치고 말았습니다. 큐폴 다이바와 대화하세요.
QUEST_LV_0200_20150401_006083	안타깝게 하우벅을 놓치고 말았습니다. 큐폴 다이바와 대화해 보세요.
QUEST_LV_0200_20150401_006084	큐폴 다이바에게 전달
QUEST_LV_0200_20150401_006085	영혼 조각을 모두 모았습니다. 이딩가 독실 입구에서 큐폴 다이바와 대화하세요.
QUEST_LV_0200_20150401_006086	큐폴 다이바는 하우벅이 숨은 곳을 알아낸 것 같습니다. 이딩가 독실 앞에 있는 큐폴 다이바와 대화하세요.
QUEST_LV_0200_20150401_006087	이딩가 독실에서 저녁별 분광구를 사용하여 하우벅이 빙의된 마족을 찾아 처치하세요.
QUEST_LV_0200_20150401_006088	하우벅은 빙의를 포기하고 영혼인 상태로 도망쳐 버렸습니다. 이딩가 독실 앞에 있는 큐폴 다이바와 대화하세요.
QUEST_LV_0200_20150401_006089	큐폴 다이바는 계획대로 잘 되간다면서 당신을 안심시킵니다. 이제 어떻게 하면 될지 큐폴 다이바와 대화하세요.
QUEST_LV_0200_20150401_006090	도망치는 하우벅을 큐폴 시기타가 갈루틴 독실로 몰아 넣었습니다. 큐폴 시기타와 대화해 보세요.
QUEST_LV_0200_20150401_006091	마군주 하우벅 제압
QUEST_LV_0200_20150401_006092	전이 틈새를 닫을 준비를 마쳤습니다. 마족수감소 5구역에 있는 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006093	전이 틈새를 닫는 의식 진행
QUEST_LV_0200_20150401_006094	여신 바카리네의 전이 틈새를 닫는 의식을 도와 주세요.
QUEST_LV_0200_20150401_006095	{memo X}여신 바카리네 혼자의 힘으론 전이 틈새를 닫는게 역부족인것 같습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006096	전이 틈새를 닫는 의식이 잘 안되고 있는 것 같습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006097	여신 바카리네는 저녁별 룬을 채울 전이의 흔적을 모아 오라고 합니다. 아우슈라 예배소의 마족들을 처치해서 전이의 흔적을 수집해 오세요.
QUEST_LV_0200_20150401_006098	전이의 흔적을 모두 수집했습니다. 여신 바카리네에게 전해 주세요.
QUEST_LV_0200_20150401_006099	저녁별 룬이 준비되었습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006100	마족에게 저녁별 룬을 사용
QUEST_LV_0200_20150401_006101	랑키네 분리구에 집결한 마족에게 저녁별 룬을 사용한 뒤 제압하세요. 제압된 마족들은 여신 바카리네에게 스스로 찾아갈 것입니다.
QUEST_LV_0200_20150401_006102	많은 마족들을 저녁별 룬으로 복종시켰습니다. 여신 바카리네와 다시 대화해 보세요.
QUEST_LV_0200_20150401_006103	아직 더 많은 마족의 영혼이 필요할 듯 싶습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006104	저녁별 룬으로 마족 제압
QUEST_LV_0200_20150401_006105	이쉬슐라 붕괴구에 집결한 마족에게 저녁별 룬을 사용한 뒤 제압하세요. 그러면 큐폴들이 그 마족들을 거둘 것입니다.
QUEST_LV_0200_20150401_006106	큐폴들이 많은 마족들을 거두어 갔습니다. 여신 바카리네에게 돌아가 보세요.
QUEST_LV_0200_20150401_006107	마족의 영혼을 더 끌어모을 방법이 필요합니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006108	{memo X}여신 바카리네는 엣메스타 격리구에 집결한 마족들에게 저녁별 룬을 사용하여 제압한 후 봉인의 징표를 가져와 달라고 부탁했습니다.
QUEST_LV_0200_20150401_006109	여신 바카리네에게 전달
QUEST_LV_0200_20150401_006110	{memo X}봉인의 징표를 전부 모았습니다. 여신 바카리네에게 전해 주세요.
QUEST_LV_0200_20150401_006111	전이 틈새를 봉쇄할 준비가 다 된 것 같습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006112	여신 바카리네 보호
QUEST_LV_0200_20150401_006113	전이 틈새를 봉쇄하는데 성공했습니다! 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006114	큐폴 아우드라는 나머지 마족을 정리하려고 합니다. 큐폴 아우드라와 대화하세요.
QUEST_LV_0200_20150401_006115	수장을 잃은 마족들이 마족 수감소를 억지로 탈출하려고 합니다. 마족 수감소를 탈출하려는 마족들을 처치하세요.
QUEST_LV_0200_20150401_006116	수감소를 탈출하려는 마족들을 처치했습니다. 큐폴 아우드라에게 보고하세요.
QUEST_LV_0200_20150401_006117	큐폴 아우드라는 아직 부탁할 것이 더 남아 있는 것 같습니다. 큐폴 아우드라와 대화하세요.
QUEST_LV_0200_20150401_006118	유품을 전부 모은 것 같습니다. 큐폴 아우드라에게 전해 주세요.
QUEST_LV_0200_20150401_006119	{memo X}마군주 누아엘레는 사라졌지만 아직 그의 잔당들이 남아 있습니다. 큐폴 메데이나와 대화해 보세요.
QUEST_LV_0200_20150401_006120	{memo X}큐폴 메데이나는 누아엘레가 사라진 마족수감소의 안정화를 위해 제 1격리구의 마족 몬스터 잔당을 처치해달라고 부탁했습니다.
QUEST_LV_0200_20150401_006121	{memo X}누아엘레의 잔당들을 모두 처치했습니다. 큐폴 메데이나와 대화하세요.
QUEST_LV_0200_20150401_006122	{memo X}큐폴 메데이나는 조금 걸리는 것이 있는 것 같습니다. 큐폴 메네이나와 대화해 보세요.
QUEST_LV_0200_20150401_006123	{memo X}큐폴 메데이나는 제 4 격리구에서 마족들과 전투하다 빼앗긴 큐폴들의 목걸이를 되찾아달라고 부탁했습니다.
QUEST_LV_0200_20150401_006124	{memo X}큐폴 메데이나에게 전달
QUEST_LV_0200_20150401_006125	{memo X}큐폴들의 목걸이를 모두 회수했습니다. 큐폴 메데이나에게 전해 주세요.
QUEST_LV_0200_20150401_006126	큐폴 지드로네는 당신의 도움이 필요해 보입니다. 큐폴 지드로네와 대화해 보세요.
QUEST_LV_0200_20150401_006127	{memo X}난동을 부리는 마족 처치
QUEST_LV_0200_20150401_006128	{memo X}큐폴 지드로네는 발트러스의 영향에서 벗어난 마족 몬스터들이 난폭해지고 불규칙한 행동을 보인다고 합니다. 오루알마 대회당에서 마족들을 처치하세요.
QUEST_LV_0200_20150401_006129	{memo X}난동을 부리고 있는 마족들을 처치했습니다. 큐폴 지드로네에게 보고하세요.
QUEST_LV_0200_20150401_006130	큐폴 알도나는 고통스러워 하는 디오니스가 안쓰러운 모양입니다. 큐폴 알도나와 대화해 보세요.
QUEST_LV_0200_20150401_006131	디오니스의 발톱 수집
QUEST_LV_0200_20150401_006132	큐폴 알도나는 디오니스의 발톱을 다시 가져온다면 금방 기운을 차릴지도 모른다고 합니다. 르알다 봉인 주변에서 디오니스의 공격을 받았던 마족을 찾아 처치하고 디오니스의 발톱을 회수해 오세요.
QUEST_LV_0200_20150401_006133	큐폴 알도나에게 전달
QUEST_LV_0200_20150401_006134	디오니스의 발톱을 모두 회수했습니다. 큐폴 알도나에게 전해 주세요.
QUEST_LV_0200_20150401_006135	큐폴 알도나는 당신의 도움을 필요로 하고 있습니다. 큐폴 알도나와 대화해 보세요.
QUEST_LV_0200_20150401_006136	파괴된 별의 징표 수집
QUEST_LV_0200_20150401_006137	큐폴 알도나는 디오니스의 폭주는 막았지만 별의 징표가 파괴되는 것은 막을 수 없었다고 합니다. 라다 봉인 근처에 흩어져 있는 별의 징표를 수집해 주세요.
QUEST_LV_0200_20150401_006138	별의 징표를 모두 모았습니다. 큐폴 알도나에게 전해 주세요.
QUEST_LV_0200_20150401_006139	하우벅을 잡는데 성공했지만 아직도 그의 부하들이 남아 있습니다. 큐폴 다이바와 대화해 보세요.
QUEST_LV_0200_20150401_006140	마족 처치
QUEST_LV_0200_20150401_006141	큐폴 다이바는 아클라가 고립 구역으로 도망친 하우벅의 부하들을 처치해달라고 부탁했습니다.
QUEST_LV_0200_20150401_006142	하우벅의 남은 부하들을 모두 처치하는데 성공했습니다. 큐폴 다이바에게 이 사실을 전해 주세요.
QUEST_LV_0200_20150401_006143	{memo X}하우벅의 잔당들의 움직임이 수상합니다. 큐폴 시기타와 대화하세요.
QUEST_LV_0200_20150401_006144	하우벅의 잔당 처치
QUEST_LV_0200_20150401_006145	{memo X}이쉬데비 은둔처에서 하우벅의 잔당들을 처치했습니다. 큐폴 시기타와 대화해 보세요.
QUEST_LV_0200_20150401_006146	{memo X}큐폴 시기타는 뭔가 중요한 결정을 내린 것 같습니다. 큐폴 시기타와 대화해 보세요.
QUEST_LV_0200_20150401_006147	마족의 이빨 수집
QUEST_LV_0200_20150401_006148	{memo X}큐폴 시기타는 본보기를 보일 때가 왔다고 합니다. 흐라데티 교차로에 숨어든 마족 몬스터들을 처치하고 그들의 증표인 마족의 이빨을 수집하세요.
QUEST_LV_0200_20150401_006149	큐폴 시기타에게 전달
QUEST_LV_0200_20150401_006150	{memo X}마족의 이빨을 모두 모았습니다. 큐폴 시기타에게 가져다 주세요.
QUEST_LV_0200_20150401_006151	{memo X}전이 틈새를 봉쇄하느라 기력이 다한 여신 바카리네가 부탁할 것이 있는 것 같습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006152	{memo X}여신 바카리네는 훗날을 위해서라도 마족들이 몰려있어선 안된다고 합니다. 바나가 감시구 주변에 몰려 있는 마족들을 처치하세요.
QUEST_LV_0200_20150401_006153	{memo X}바나가 감시구 주변에 몰려있는 마족들을 처치했습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006154	{memo X}여신 바카리네는 고통스러워하는 디오니스가 걱정되는 모양입니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006155	{memo X}텅 빈 영혼을 잔뜩 모았습니다. 여신 바카리네에게 전해 주세요.
QUEST_LV_0200_20150401_006156	{memo X}곳곳에서 작은 전이 틈새가 다시 벌어지는 것 같습니다. 여신 바카리네와 대화해 보세요.
QUEST_LV_0200_20150401_006157	소형 전이 틈새 제거
QUEST_LV_0200_20150401_006158	{memo X}모든 전이 틈새를 제거했습니다. 여신 바카리네에게 돌아가 보세요.
QUEST_LV_0200_20150406_006159	전 이 농장의 주인이신 아렐르노 남작님의 비서입니다.{nl}남작님께서는 이 땅을 정화하기 위해 계시자님의 도움을 원하고 계시지요.
QUEST_LV_0200_20150406_006160	남작님께선 마법사들을 고용하여 농장을 정화하는 실험실을 만들고 계십니다.{nl}이를 위해 이 농장을 통째로 내주셨지요.{nl}
QUEST_LV_0200_20150406_006161	이상한 기운 때문에 다들 말도 못할 피로감을 호소하고 있거든요.{nl}하지만 장치만 완성된다면 이상한 기운도 없어진다고 하니 금방 괜찮아질 겁니다.{nl}
QUEST_LV_0200_20150406_006162	일은 간단합니다.{nl}이상한 기운 때문에 저를 포함한 모든 인부들이 고된 피로감을 호소하고 있습니다.{nl}혹시나 작물에도 영향이 있는지 버려진 농지 근처에서 확인을 부탁드립니다.
QUEST_LV_0200_20150406_006163	아직입니까?{nl}남작님께서는 계시자님께 기대가 크십니다.
QUEST_LV_0200_20150406_006164	역시 이상한 기운이 있지요?{nl}하지만 작물은 문제 없다니.. 리마스의 얘기와는 좀 다르군요.
QUEST_LV_0200_20150406_006165	어쨌든 이상한 기운은 확실하니 그걸 처리해야겠습니다.{nl}마법사 리마스가 준 해결책으로 의식만 치룬다면.. 죄송합니다. 좀 어지럽군요.
QUEST_LV_0200_20150406_006166	괜히 저 때문에.. 도와주신다니 감사할 따름입니다.{nl}제가 드리는 나무 장작으로 마법진을 쌓고 그 위에서 주술 인형을 태워 주시면 됩니다.
QUEST_LV_0200_20150406_006167	좀 앉아서 쉬고 싶군요.{nl}하지만 비서된 몸으로 그럴 수는 없지 않겠습니까.
QUEST_LV_0200_20150406_006168	시키는 대로 했더니 작물들이 죽어버렸다구요.{nl}괜찮습니다. 작물 안에 있던 나쁜 기운이 빠져나갈거라고 그랬으니까요.{nl}
QUEST_LV_0200_20150406_006169	지금부터는 더 잘 자랄 겁니다.{nl}어쨌든 아직 남작님을 만나보신 적이 없다면 한 번 뵙는것도 좋겠군요.
QUEST_LV_0200_20150406_006170	마법사 리마스
QUEST_LV_0200_20150406_006171	이 농장에 온 걸 환영하네. {nl}남작님께선 농장의 오염 때문에 근심이 많으시니 내가 대신 인사하지.{nl}
QUEST_LV_0200_20150406_006172	근심? 아아. 이상한 기운 때문에 동력원에 마력이 모이질 않거든.{nl}실험구역마다 마법진을 깔아 보았지만 생각보다 마법진이 약해서 문제야.
QUEST_LV_0200_20150406_006173	아아. 이건 아주 중요한 일에 쓰이는 장치이지.{nl}그 포탈과 그것을 유지하는 힘.. 아차. 이건 잊어 주게.{nl}
QUEST_LV_0200_20150406_006174	어쨌든 이 땅에 고인 이상한 기운을 없애는데 꼭 필요한 것이지.{nl}정화 말이네, 정화. 아주 골칫거리 아닌가.
QUEST_LV_0200_20150406_006175	{memo X}어때. 잘 되어 가고 있나?
QUEST_LV_0200_20150406_006176	고맙군. 먼저 실험구역에 있는 마법진을 잘 살펴 보게.{nl}만약 이상한 결정이 나온다면 잘 작동하는 마법진이니 결정만 파괴해 주면 되네.{nl}
QUEST_LV_0200_20150406_006177	{memo X}하지만 결정이 나오지 않는다면 문제가 있는 것이야. {nl}이 병에 몬스터의 마력을 모아서 마력진 주변에 묻어 주면 끝이지.
QUEST_LV_0200_20150406_006178	훌륭하군. {nl}하지만 문제는 그것뿐만이 아닐세.
QUEST_LV_0200_20150406_006179	저 동력기는 자연의 기운으로 움직이네.{nl}곡식 말이야. 그것보다 자연의 기운을 듬뿍 받은 게 어디 있겠나.{nl}
QUEST_LV_0200_20150406_006180	다행히 소작인들은 큰 반항 없이 협조를 해 주고 있지.{nl}그런데 그 창고가 몬스터에게 노려지고 있어서 골치아프단 말이야.
QUEST_LV_0200_20150406_006181	{memo X}동력원에는 자연의 기운을 받은 게 필요한데 당장 끌어다 쓸 수 있는게 뭐겠나.{nl}창고에 그득히 쌓여 있는 곡식이 제격이지.{nl}
QUEST_LV_0200_20150406_006182	걱정 말게. 오염만 해결되면 풍년이네.{nl}그리고 그 문만 유지한다면 말이지.
QUEST_LV_0200_20150406_006183	위치는 옛 식량 창고터네.{nl}곡식이 산더미같이 쌓여 있으니 몬스터가 노릴 만도 하지.
QUEST_LV_0200_20150406_006184	나도 여길 지켜야 하니 자릴 비울 수가 없어서 고민이야.{nl}그렇다고 남작님께서 직접 나서시게 할 수는 없잖나.
QUEST_LV_0200_20150406_006185	덕분에 한동안은 조용하겠군.{nl}이제 그 문만 잘 유지된다면.. 흠. 뭐, 신경쓰지 말게.
QUEST_LV_0200_20150406_006186	잠깐만, 그건.. 익숙한 조각상인데?{nl}미안하지만 내가 좀 볼 수 있을까?
QUEST_LV_0200_20150406_006187	아, 그렇지. 스티쉬카 농로로 가는 길의 마법진들을 잊고 있었군.{nl}이걸 가져가서 뿌려 보게. 예전에 미리 만들어 두었지.{nl}
QUEST_LV_0200_20150406_006188	그걸 몬스터에게서 모아서 정제하느라 얼마나 힘들었는지.{nl}걱정 말게. 사악한 기운도 쓰기 나름 아니겠나.
QUEST_LV_0200_20150406_006189	불쾌한 기분이 드는 정제액이다.{nl}이걸로 마법진을 강화한다니, 뭔가 미심쩍지만 일단 해 보자.
QUEST_LV_0200_20150406_006190	이거 큰일이군. 도대체 먹이까지 물고 어디로 도망친거야?{nl}미안하지만 자네, 멘티켄 좀 찾아 줄 수 있겠나?{nl}
QUEST_LV_0200_20150406_006191	맨티켄? 듣고 너무 이상하게 여기지 말게. 그건 몬스터야.{nl}남작님께서 필요하대서 내가 돌보고 있지. 먹이를 주는 일이라든지.{nl}
QUEST_LV_0200_20150406_006192	어디에 필요한지는 묻지 말게.{nl}다 농장을 위한 거니까.
QUEST_LV_0200_20150406_006193	양조장 근처에 있을 지도 몰라. 난 저 쪽을 찾아 봐야겠어.{nl}혹시 발견하게 되면 이 고기를 던져서 유인해 봐.
QUEST_LV_0200_20150406_006194	남작 비서 베뉴스
QUEST_LV_0200_20150406_006195	이거 참 곤란하군.{nl}자칫하단 여럿 죽어나가겠는걸..
QUEST_LV_0200_20150406_006196	{memo X}응? 사람을 잡아 먹으려고 해서 처치해 버렸다고?{nl}아아. 뭐.. 할 수 없지. 신경쓰지 말게. 남작님께는 내가 보고 하지.
QUEST_LV_0200_20150406_006197	이런 시골에서도 계시자님의 이름은 익히 들어 알고 있습니다.{nl}저희는 남작의 수탈과 횡포에 맞서기 위해 준비 중입니다.{nl}
QUEST_LV_0200_20150406_006198	계시자님께서 무기 수급을 도와 주신다면 정말 큰 힘이 될 것입니다.
QUEST_LV_0200_20150406_006199	어쩌다보니 이렇게 앞장서게 되었습니다.{nl}남작의 횡포를 참을 수 없게 된 일개 소작인일 뿐이지요.{nl}
QUEST_LV_0200_20150406_006200	수탈과 횡포도 문제지만 더욱 화가 나는 건 정화를 가장해 우릴 속인 것입니다.{nl}남작이 하고 있는 짓은 여신의 이름을 더럽히는 짓이나 다름 없단 말입니다.
QUEST_LV_0200_20150406_006201	근처의 나무 울타리에서 나무 막대를 좀 뽑아다 주세요.{nl}무기를 만들 겁니다.
QUEST_LV_0200_20150406_006202	남작의 사병들과 얼마나 싸울 수 있을지는 모릅니다.{nl}하지만 그 자체만으로도 의미있는 일일 겁니다.
QUEST_LV_0200_20150406_006203	이 정도면 어느 정도는 되겠습니다.{nl}차차 말씀드리겠지만, 만약 제 생각이 맞다면 남작은 여신을 저버린 것이나 다름없습니다.
QUEST_LV_0200_20150406_006204	남작의 명령으로 이상한 기운을 억누르는 마법진이 농장에 잔뜩 생겼지요.{nl}하지만 그것은 거짓이었습니다. 남작은 정화 따위엔 관심이 없어요.{nl}
QUEST_LV_0200_20150406_006205	어쨌든, 계시자님은 무기를 만들 가죽을 부탁드립니다.{nl}주변의 몬스터에게서 구할 수 있을 겁니다.
QUEST_LV_0200_20150406_006206	이 농장엔 이상한 기운이 곳곳에 퍼져 있지요.{nl}남작은 위험한 것이라며 그걸 억누를 마법진을 곳곳에 만들라고 명령했습니다.{nl}
QUEST_LV_0200_20150406_006207	하지만 이상한 기운 때문에 해를 입은 사람은 없었습니다.{nl}웃기지도 않은 이야기지요. 오히려 작물은 아주 잘 자랐으니까요.
QUEST_LV_0200_20150406_006208	더 이상 바보같이 당하고만 있지 않을 겁니다.{nl}
QUEST_LV_0200_20150406_006209	그 정도면 충분하군요. 수고하셨습니다.{nl}솔직히 말하자면, 남작이 무엇을 원하는지는 별로 관심이 없습니다.{nl}하지만..
QUEST_LV_0200_20150406_006210	{memo X}설령 남작이 원하는게 진짜 정화일지라도 말입니다.{nl}동료들이 사라지고, 무거운 소작료에 고통받아야 한다는 건 말도 안되는 이야기지요.{nl}
QUEST_LV_0200_20150406_006211	그게 제 생각입니다. 이젠.. 독을 좀 모아야 합니다.{nl}여러 모로 쓰일 겁니다.
QUEST_LV_0200_20150406_006212	확실하지 않다는 것이 큰 약점입니다.{nl}수로교 지역의 통제구역 안에 뭔가 숨겨두고 있는 것 같기는 한데 말입니다.{nl}
QUEST_LV_0200_20150406_006213	탐욕스런 노인이라, 틀림없이 뭔가 있긴 합니다. 분명해요.
QUEST_LV_0200_20150406_006214	{memo X}독 항아리를 놓아 두고, 그 주변으로 몬스터를 유인해서 처치해 주세요.{nl}충분히 모아지면 가져다 주시고요.
QUEST_LV_0200_20150406_006215	이런 일을 시켜 드려 죄송합니다.{nl}하지만 저희들을 생각해서 조금만 더 도와 주십시오.
QUEST_LV_0200_20150406_006216	부족한 무기는 주변에서 일하고 있는 농민들에게 농기구라도 빌려 볼 생각입니다.{nl}계시자님이라면 유명하시니 수월히 빌릴 수도 있겠지요.
QUEST_LV_0200_20150406_006217	제가 드리는 편지와 함께 계시자님께서 설득해 주시면 그들도 납득할 겁니다.
QUEST_LV_0200_20150406_006218	이렇게나 많이.. 정말 감사합니다.{nl}참, 여유가 되신다면 저의 다른 동료들에게도 도움을 주셨으면 좋겠습니다.
QUEST_LV_0200_20150406_006219	전 호라치우스의 동료입니다. 식량을 담당하고 있죠.{nl}점점 약속의 날은 가까워지는데 손은 부족하니 큰일이네요. 조금 도와주시겠습니까?
QUEST_LV_0200_20150406_006220	저희는 호라치우스와 함께 꼭 해낼 겁니다.{nl}정말 말도 안되는 소작료에 다들 지쳐가고 있거든요.{nl}
QUEST_LV_0200_20150406_006221	게다가 그나마 우릴 지켜주던 남작비서 안돌님마저 사라진 지금..{nl}믿을 건 우리의 두 팔밖엔 없네요.
QUEST_LV_0200_20150406_006222	그렇다면 리아움 둔덕에서 니올레를 뿌리째로 부탁합니다.{nl}감자를 넣어서 죽을 쑤어도 좋고, 약재로도 쓰이거든요.
QUEST_LV_0200_20150406_006223	남작이 설령 옳은 일을 했더라도 어떻게든 살자고 하는 일이에요.{nl}아무도 우릴 욕할 순 없어요.
QUEST_LV_0200_20150406_006224	그리고 또.. 오래 보관하기에는 건조된 식품이 좋습니다.{nl}특히 육포는 조금만 먹어도 배가 불러서 어떻게든 많이 모아 보려구요.
QUEST_LV_0200_20150406_006225	최근 들어서 소작료가 무거워지기 시작했어요.{nl}이상한 이유를 붙여가며 더 자주 걷어가기도 했고요.{nl}
QUEST_LV_0200_20150406_006226	언젠가부터는 같이 일하던 동료도 보이질 않았어요.{nl}그쯤 되니 남작이 말하는 정화니 뭐니 그런 것들도 다 거짓말로 보여지더라고요.{nl}
QUEST_LV_0200_20150406_006227	전, 이 모든 것이 남작의 소행과 관련이 있다고 생각합니다.{nl}그걸 알아내고 싶은 겁니다. 무력을 써서라도요.{nl}이 뜻을 함께 하고자 나선 사람이 호라치우스였습니다.
QUEST_LV_0200_20150406_006228	주변의 몬스터에게서 먹을 만한 고기를 얻어야 해요.{nl}고기만 있다면 건조 작업장의 건조기에 넣으면 금방이지요.
QUEST_LV_0200_20150406_006229	몬스터들에게서 먹을 만한 고기를 얻는 것이 관건입니다.{nl}대부분 질기고, 비리거든요.
