QUEST_LV_0100_20150317_000001	경계병
QUEST_LV_0100_20150317_003669	부탁하는 태도가 맘에 안 드니 거절하자
QUEST_LV_0100_20150317_003670	모제 영감의 진심(4)
QUEST_LV_0100_20150317_003671	전해 주겠다고 한다
QUEST_LV_0100_20150317_003672	{memo X}전달 중/TALK/1/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003673	불놀이야!(1)
QUEST_LV_0100_20150317_003674	내 갈길 간다
QUEST_LV_0100_20150317_003675	가시숲에 대해
QUEST_LV_0100_20150317_003676	불놀이야!(2)
QUEST_LV_0100_20150317_003677	수액을 모으러 가겠다고 한다
QUEST_LV_0100_20150317_003678	잘 안탈 것 같다고 한다
QUEST_LV_0100_20150317_003679	불놀이야!(3)
QUEST_LV_0100_20150317_003680	가시 덩굴을 태우러 가겠다고 한다
QUEST_LV_0100_20150317_003681	이제부턴 알아서 하라고 한다
QUEST_LV_0100_20150317_003682	{memo X}가시 관문 태우기/FIRE/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003683	이독제독(1)
QUEST_LV_0100_20150317_003684	괜찮은 생각인 것 같다고 한다
QUEST_LV_0100_20150317_003685	별로라고 한다
QUEST_LV_0100_20150317_003686	신도들에 대해
QUEST_LV_0100_20150317_003687	내 반지!
QUEST_LV_0100_20150317_003688	반지를 줍게 되면 가져다 주겠다고 한다
QUEST_LV_0100_20150317_003689	아마 지금쯤 다 소화되었을 거라고 한다
QUEST_LV_0100_20150317_003690	{memo X}주머니를 살펴보는 중/SITGROPE/2.5/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003691	이독제독(2)
QUEST_LV_0100_20150317_003692	금방 구해 오겠다고 한다
QUEST_LV_0100_20150317_003693	이독제독(3)
QUEST_LV_0100_20150317_003694	조합해 오겠다고 한다
QUEST_LV_0100_20150317_003695	과거의 가시숲에 대해
QUEST_LV_0100_20150317_003696	{memo X}조합하기/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003697	이독제독(4)
QUEST_LV_0100_20150317_003698	가시덩굴을 녹이러 간다
QUEST_LV_0100_20150317_003699	신앙의 이름으로(1)
QUEST_LV_0100_20150317_003700	도와 줄 수 있는 일이라면 돕겠다고 한다
QUEST_LV_0100_20150317_003701	나와는 관련 없는 일이라고 한다
QUEST_LV_0100_20150317_003702	가시숲의 사악한 기운에 대해
QUEST_LV_0100_20150317_003703	신앙의 이름으로(2)
QUEST_LV_0100_20150317_003704	신앙의 이름으로(3)
QUEST_LV_0100_20150317_003705	{memo X}정화 중../MAKING/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003706	{memo X}마력수정 회수 중/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003707	신앙의 이름으로(4)
QUEST_LV_0100_20150317_003708	주시자의 마지막 경고
QUEST_LV_0100_20150317_003709	괜찮을거라고 한다
QUEST_LV_0100_20150317_003710	더 이상 앞으로 가지 않는다
QUEST_LV_0100_20150317_003711	그저 약간의 도움
QUEST_LV_0100_20150317_003712	{memo X}쾌히 승락한다
QUEST_LV_0100_20150317_003713	{memo X}낙우림이 더 급하다고 한다
QUEST_LV_0100_20150317_003714	이러지도 저러지도
QUEST_LV_0100_20150317_003715	바로 해치우겠다고 한다
QUEST_LV_0100_20150317_003716	다른 신도들한테 알리는 게 안전하겠다고 한다
QUEST_LV_0100_20150317_003717	훼방의 기술
QUEST_LV_0100_20150317_003718	해봄직 하다고 한다
QUEST_LV_0100_20150317_003719	내키지 않는다고 한다
QUEST_LV_0100_20150317_003720	당황하지 말고
QUEST_LV_0100_20150317_003721	소환 수정을 부숴 준다고 한다
QUEST_LV_0100_20150317_003722	잘 도망칠 수 있을 거라고 한다
QUEST_LV_0100_20150317_003723	뜻밖의 연구
QUEST_LV_0100_20150317_003724	맡겨 달라고 한다
QUEST_LV_0100_20150317_003725	이상한 연구에 참여하고 싶지 않다고 한다
QUEST_LV_0100_20150317_003726	불경스러운 것
QUEST_LV_0100_20150317_003727	아콘을 처치하겠다고 한다
QUEST_LV_0100_20150317_003728	자리를 피한다
QUEST_LV_0100_20150317_003729	{memo X}메로그들의 습격
QUEST_LV_0100_20150317_003730	잘 숨어 있으면 괜찮을거라고 한다
QUEST_LV_0100_20150317_003731	{memo X}Notice/브로뉴스를 쫓아온 메로그와 체이러퍼 처치!
QUEST_LV_0100_20150317_003732	{memo X}낙우림 정화(1)
QUEST_LV_0100_20150317_003733	몬스터에게서 제단을 지켜준다고 한다
QUEST_LV_0100_20150317_003734	모르겠다고 한다
QUEST_LV_0100_20150317_003735	{memo X}정화의 제단 가동시키기/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003736	스비에사 구릉지의 뿌리
QUEST_LV_0100_20150317_003737	{memo X}Notice/뿌리를 건들자 가이갈라스가 막아섭니다!#5
QUEST_LV_0100_20150317_003738	브람블 공략(1)
QUEST_LV_0100_20150317_003739	준비 만반이라고 한다
QUEST_LV_0100_20150317_003740	틴칸타 공터의 뿌리
QUEST_LV_0100_20150317_003741	{memo X}Notice/뿌리를 건들자 몰렉이 막아섭니다!#5
QUEST_LV_0100_20150317_003742	{memo X}낙우림 정화(2)
QUEST_LV_0100_20150317_003743	정화 작업을 돕겠다고 한다
QUEST_LV_0100_20150317_003744	위험하니 포기하라고 한다
QUEST_LV_0100_20150317_003745	{memo X}Notice/정화의 제단 가동시키기 성공!#3
QUEST_LV_0100_20150317_003746	브람블 공략(3)
QUEST_LV_0100_20150317_003747	브람블을 처치하고 계시를 되찾겠다고 한다
QUEST_LV_0100_20150317_003748	사울레 여신에게
QUEST_LV_0100_20150317_003749	열리지 않는 포탈
QUEST_LV_0100_20150317_003750	신관을 만나보겠다고 한다
QUEST_LV_0100_20150317_003751	오벨리스크 작동(1)
QUEST_LV_0100_20150317_003752	복원 방법을 묻는다
QUEST_LV_0100_20150317_003753	관둔다
QUEST_LV_0100_20150317_003754	{memo X}Notice/나무 진액을 모두 모았습니다.{nl}가시나무 제단으로 가서 재료를 합성하세요!#5
QUEST_LV_0100_20150317_003755	오벨리스크 작동(2)
QUEST_LV_0100_20150317_003756	{memo X}재료 합성 중/STANDSPINKLE/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003757	{memo X}Notice/염료가 완성되었습니다!{nl}제단에서 염료를 획득하세요.#5
QUEST_LV_0100_20150317_003758	{memo X}Notice/안데일 마을 신관에게 돌아가세요#7
QUEST_LV_0100_20150317_003759	오벨리스크 작동(3)
QUEST_LV_0100_20150317_003760	오벨리스크의 위치를 묻는다
QUEST_LV_0100_20150317_003761	복원은 직접 하라고 한다
QUEST_LV_0100_20150317_003762	신에 대해
QUEST_LV_0100_20150317_003763	{memo X}오벨리스크 복원 중/READ/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003764	{memo X}Notice/쪽빛나무 고원의 안데일 마을 사제를 찾아가세요!#5
QUEST_LV_0100_20150317_003765	네프리토 계곡의 몰디혼
QUEST_LV_0100_20150317_003766	{memo X}살펴보는 중/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003767	{memo X}Notice/몰디혼이 나타났습니다!#3
QUEST_LV_0100_20150317_003768	{memo X}불길한 기운이 감도는 가시나무 제단
QUEST_LV_0100_20150317_003769	{memo X}재료 조합 중/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003770	{memo X}Notice/불길한 기운에 반응한 몬스터를 처치하세요!#5
QUEST_LV_0100_20150317_003771	슬레핑가스 냇가의 푸른 우드 스피릿
QUEST_LV_0100_20150317_003772	{memo X}살펴보는 중/READ/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003773	{memo X}Notice/푸른 우드스피릿이 나타났습니다!#3
QUEST_LV_0100_20150317_003774	안데일 마을 사제의 부탁(1)
QUEST_LV_0100_20150317_003775	우펜트 처치를 도울 방법을 묻는다
QUEST_LV_0100_20150317_003776	의식에 대하여
QUEST_LV_0100_20150317_003777	{memo X}Notice/나르바스 굽잇길에서 나른초를 구하세요
QUEST_LV_0100_20150317_003778	안데일 마을 사제의 부탁(2)
QUEST_LV_0100_20150317_003779	위력은 충분할 거라고 한다
QUEST_LV_0100_20150317_003780	{memo X}Notice/드뷔니 습지에서 향이 강한 영혼의 꽃을 찾으세요
QUEST_LV_0100_20150317_003781	{memo X}채집 중/#SITGROPESET/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003782	{memo X}Notice/향이 강한 영혼의 꽃을 얻었습니다!{nl}마을 사제에게 돌아가세요
QUEST_LV_0100_20150317_003783	{memo X}Notice/마을 촌장을 찾아가세요
QUEST_LV_0100_20150317_003784	나른초 폭탄 제조
QUEST_LV_0100_20150317_003785	폭약을 가질러 가겠다고 한다
QUEST_LV_0100_20150317_003786	{memo X}Notice/마을 위쪽에 있는 폭약통에서 폭약을 가져오세요
QUEST_LV_0100_20150317_003787	나른해지는 향기
QUEST_LV_0100_20150317_003788	폭탄을 사용하러 가겠다고 한다
QUEST_LV_0100_20150317_003789	잠시 마음의 준비를 하겠다고 한다
QUEST_LV_0100_20150317_003790	{memo X}나른초 폭탄 설치 중/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003791	이상한 우물
QUEST_LV_0100_20150317_003792	{memo X}Notice/!/우물 안의 물건을 꺼낼 수 있을만한 도구를 찾아보세요!#7
QUEST_LV_0100_20150317_003793	{memo X}물건 꺼내는 중/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_003794	{memo X}Notice/우물 안에서 누군가의 유품을 발견했습니다!
QUEST_LV_0100_20150317_003795	드뷔니 습지의 콜리멘시아
QUEST_LV_0100_20150317_003796	{memo X}Notice/콜리멘시아가 나타났습니다!#3
QUEST_LV_0100_20150317_003797	{memo X}사크넬레 절벽기슭의 일티스워트
QUEST_LV_0100_20150317_003798	{memo X}Notice/일티스워트가 깨어났습니다!#3
QUEST_LV_0100_20150317_003799	브람블 공략(2)
QUEST_LV_0100_20150317_003800	파괴하러 간다
QUEST_LV_0100_20150317_003801	잠시 시간을 달라고 한다
QUEST_LV_0100_20150317_003802	{memo X}Notice/길리아이 안뜰로 이동!#5
QUEST_LV_0100_20150317_003803	주교가 꾼 여신의 꿈(2)
QUEST_LV_0100_20150317_003804	들르겠다고 한다
QUEST_LV_0100_20150317_003805	긴다리 계곡으로
QUEST_LV_0100_20150317_003806	{memo X}낙우림으로
QUEST_LV_0100_20150317_003807	{memo X}Notice/브람블이 숨어있는 낙우림에 도착했습니다.#3
QUEST_LV_0100_20150317_003808	병사의 부탁
QUEST_LV_0100_20150317_003809	유품을 모아 오겠다고 한다
QUEST_LV_0100_20150317_003810	약탈당한 식량
QUEST_LV_0100_20150317_003811	부베에게서 식량을 되찾아 오겠다고 한다
QUEST_LV_0100_20150317_003812	바쁘니 거절하자
QUEST_LV_0100_20150317_003813	{memo X}너울 고원으로
QUEST_LV_0100_20150317_003814	마법사의 탑으로
QUEST_LV_0100_20150317_003815	{memo X}석주대의 롤란다스 요나스
QUEST_LV_0100_20150317_003816	약사의 부탁(1)
QUEST_LV_0100_20150317_003817	주겠다고 한다
QUEST_LV_0100_20150317_003818	약사의 부탁(2)
QUEST_LV_0100_20150317_003819	아저씨의 호의
QUEST_LV_0100_20150317_003820	{memo X}도움을 받는다
QUEST_LV_0100_20150317_003821	{memo X}성의는 고맙지만 거절한다
QUEST_LV_0100_20150317_003822	{memo X}갑옷 만들기(1)
QUEST_LV_0100_20150317_003823	{memo X}갑옷 만들기(2)
QUEST_LV_0100_20150317_003824	{memo X}갑옷 만들기(3)
QUEST_LV_0100_20150317_003825	{memo X}갑옷 만들기(4)
QUEST_LV_0100_20150317_003826	경계병과 대화
QUEST_LV_0100_20150317_003827	클라페다로 가기 위해 경계병에게 길을 물어 봅시다.
QUEST_LV_0100_20150317_003828	서쪽 숲 캠프에서 기사 티타스와 대화
QUEST_LV_0100_20150317_003829	클라페다로 가는 길이 막혀있는 이유를 기사 티타스에게 물어봅시다.
QUEST_LV_0100_20150317_003830	{memo X}기사 티타스에게 클라페다로 가는 길 묻기
QUEST_LV_0100_20150317_003831	기사 티타스에게 현재 상황에 대해 물어보세요.
QUEST_LV_0100_20150317_003832	{memo X}숲의 병사들 모으기
QUEST_LV_0100_20150317_003833	{memo X}클라페다로 가기 위해 병사를 모아야 합니다.
QUEST_LV_0100_20150317_003834	표시된 곳에서 정찰병과 대화
QUEST_LV_0100_20150317_003835	클라페다로 가기 전에 병사들에게 집합 명령을 전해 달라고 부탁받았습니다. 정찰병에게 집합 명령을 알려 주세요.
QUEST_LV_0100_20150317_003836	몰려드는 케파 무리 처치
QUEST_LV_0100_20150317_003837	갑자기 케파가 습격했습니다! 모두 물리치세요.
QUEST_LV_0100_20150317_003838	정찰병의 상태를 확인
QUEST_LV_0100_20150317_003839	케파에게 공격당한 정찰병의 상태를 확인하세요.
QUEST_LV_0100_20150317_003840	정찰병에게 클라페다로 가기 위한 복귀 명령이 있음을 다시 알림
QUEST_LV_0100_20150317_003841	정찰병에게 클라페다로 가기 위한 복귀 명령이 있음을 다시 되새겨 줍시다.
QUEST_LV_0100_20150317_003842	잎방개를 처치해 짐 꾸러미 수집
QUEST_LV_0100_20150317_003843	정찰병은 자신의 짐을 찾기 전 까지 절대로 돌아갈 수 없다고 합니다. 정찰병을 위해 잎방개가 훔쳐간 정찰병의 짐 꾸러미를 찾아오세요.
QUEST_LV_0100_20150317_003844	정찰병에게 짐 꾸러미 전달
QUEST_LV_0100_20150317_003845	정찰병에게 돌아가 짐 꾸러미를 돌려주고 빨리 클라페다로 가야 하니 본대로 복귀하라고 다시 말해 봅시다.
QUEST_LV_0100_20150317_003846	잎방개를 처치해 %s 획득
QUEST_LV_0100_20150317_003847	전투 조장과 대화
QUEST_LV_0100_20150317_003848	전투 조장과 대화해 보세요.
QUEST_LV_0100_20150317_003849	{memo X}전투 조장의 설득
QUEST_LV_0100_20150317_003850	전투 조장은 나머지 전달은 자신의 부하에게 시키겠다고 합니다. 이 상황을 티타스에게 보고하러 가세요.
QUEST_LV_0100_20150317_003851	기사 티타스에게 보고
QUEST_LV_0100_20150317_003852	{memo X}이제는 클라페다로 갈 준비를 하세요.
QUEST_LV_0100_20150317_003853	표시된 곳에서 수색병 찾기
QUEST_LV_0100_20150317_003854	클라페다로 가기 전에 병사들에게 집합 명령을 전해 달라고 부탁받았습니다. 수색병에게 집합 명령을 알려 주세요.
QUEST_LV_0100_20150317_003855	수색병에게 교대시간 알려주기
QUEST_LV_0100_20150317_003856	복귀 명령을 알려줬지만 대형 케파가 갑자기 나타났습니다. 해치웁시다.
QUEST_LV_0100_20150317_003857	수색병과 대화
QUEST_LV_0100_20150317_003858	수색병과 대화하여 집합 명령을 전해 주고 다음 병사 위치를 알아 냅시다.
QUEST_LV_0100_20150317_003859	달려드는 대형 케파 처치
QUEST_LV_0100_20150317_003860	라이모나스와 대화
QUEST_LV_0100_20150317_003861	티타스의 말 대로 라이모나스의 부탁을 들어 봅시다.
QUEST_LV_0100_20150317_003862	여신상에 경배
QUEST_LV_0100_20150317_003863	제미나 여신상에게 경배를 드려 보세요. 제미나 여신상은 라이모나스가 있는 곳에서 오른쪽 길의 끝에 있습니다.
QUEST_LV_0100_20150317_003864	라이모나스의 말 대로 여신상에 경배를 드렸습니다. 라이모나스에게 돌아가 이야기를 해 주세요.
QUEST_LV_0100_20150317_003865	라이모나스의 부탁을 들어 보세요.
QUEST_LV_0100_20150317_003866	표시된 지역 근처의 인프로락터 처치
QUEST_LV_0100_20150317_003867	클라페다로 가는 길의 인프로락터를 정리해 달라는 라이모나스의 부탁을 들어 주세요.
QUEST_LV_0100_20150317_003868	클라페다 경비병 대장과 대화
QUEST_LV_0100_20150317_003869	라이모나스의 부탁을 잘 들어 준 것 같습니다. 클라페다로 향하는 길의 몬스터를 정리했다고 대장 경비병에게 말 해 주세요.
QUEST_LV_0100_20150317_003870	인프로락터 처치
QUEST_LV_0100_20150317_003871	클라페다로 이동
QUEST_LV_0100_20150317_003872	클라페다로 가는 길목으로 이동해 봅시다.
QUEST_LV_0100_20150317_003873	갑자기 나타난 락토르투가 처치
QUEST_LV_0100_20150317_003874	클라페다로 들어가기 전에 갑자기 나타난 락토르투가를 처치하세요.
QUEST_LV_0100_20150317_003875	클라페다 경비병 대장에게 락토르투가를 처치한 일을 보고하세요.
QUEST_LV_0100_20150317_003876	전투 조장에게 복귀 명령 알림
QUEST_LV_0100_20150317_003877	클라페다로 가기 전에 병사들에게 집합 명령을 전해 달라고 부탁받았습니다. 전투 조장에게 집합 명령을 알려 주세요.
QUEST_LV_0100_20150317_003878	하나밍 출몰지로 이동
QUEST_LV_0100_20150317_003879	전투 조장의 임무를 빨리 끝내기 위해 하나밍 꽃잎을 모으러 하나밍이 나오는 곳으로 이동하세요.
QUEST_LV_0100_20150317_003880	하나밍 추격
QUEST_LV_0100_20150317_003881	주변의 하나밍들을 처치
QUEST_LV_0100_20150317_003882	하나밍 서식지까지 이동
QUEST_LV_0100_20150317_003883	전투 조장의 임무를 빨리 끝내기 위해 하나밍이 서식하는 곳까지 이동합시다.
QUEST_LV_0100_20150317_003884	조사를 위해 하나밍 꽃잎 수집
QUEST_LV_0100_20150317_003885	전투 조장의 임무를 빨리 끝내기 위해 하나밍을 처치하고 꽃잎을 수집하세요.
QUEST_LV_0100_20150317_003886	전투 조장에게 하나밍 꽃잎 전달
QUEST_LV_0100_20150317_003887	빨리 클라페다로 가기 위해 전투 조장에게 돌아가 하나밍 꽃잎을 건네 주세요.
QUEST_LV_0100_20150317_003888	조사를 위해 %s 수집
QUEST_LV_0100_20150317_003889	전투 조장에게 다가가 말을 걸어 보세요. 석연찮은 일이 벌어 진 것 같습니다.
QUEST_LV_0100_20150317_003890	위험해 보이는 곳 탐색
QUEST_LV_0100_20150317_003891	심상치 않은 일을 해결하기 위해 전투조장에게 가 봅시다.
QUEST_LV_0100_20150317_003892	전투 조장에게 보고
QUEST_LV_0100_20150317_003893	서쪽 숲을 위협하던 존재는 다름아닌 지금 방금 해치운 골렘 인 것 같습니다. 전투 조장에게 이 사실을 보고하세요.
QUEST_LV_0100_20150317_003894	골렘 처치
QUEST_LV_0100_20150317_003895	수색병에게 곤란한 일이 생긴 것 같습니다. 대화해 보세요.
QUEST_LV_0100_20150317_003896	대형 케파 처치
QUEST_LV_0100_20150317_003897	수색병이 가르쳐 준 곳에서 나타난 대형 케파를 처치하세요.
QUEST_LV_0100_20150317_003898	수색병에게 돌아가기
QUEST_LV_0100_20150317_003899	수색병에게 돌아가서 대형 케파를 물리친 것을 알려주세요.
QUEST_LV_0100_20150317_003900	기사단장 우스카와 대화
QUEST_LV_0100_20150317_003901	기사단장 우스카가 여신의 꿈을 꾸고 클라페다로 온 사람들을 찾는다고 합니다. 기사단장 우스카를 만나 계시의 꿈에 대해 이야기 하세요.
QUEST_LV_0100_20150317_003902	기사단장 우스카가 여신의 꿈을 꾸고 클라페다로 온 사람들을 찾는다고 합니다. 기사단장 우스카를 만나 계시의 꿈에 대해 이야기하세요.
QUEST_LV_0100_20150317_003903	준비가 되면, 여신이 주교의 꿈에서 말한대로 수정광산으로 가기 위해 기사단장 우스카와 다시 이야기하세요.
QUEST_LV_0100_20150317_003904	동쪽 숲 캠프 거점으로 이동
QUEST_LV_0100_20150317_003905	동쪽 숲에서 몰려 나온 몬스터들로 인해 동쪽 숲 캠프 거점이 위험한 상황인 것 같습니다. 빨리 가 봅시다.
QUEST_LV_0100_20150317_003906	동쪽 숲 캠프 거점에 나타난 포아타 처치
QUEST_LV_0100_20150317_003907	새끼 포아타를 지키러 포아타가 나타났습니다. 갑작스레 나타난 포아타를 처치하세요.
QUEST_LV_0100_20150317_003908	기사 아라스와 대화
QUEST_LV_0100_20150317_003909	아라스를 위협하고 있던 포아타를 처치했습니다. 아라스에게 보고 하세요.
QUEST_LV_0100_20150317_003910	전초기지를 습격한 포아타 처치
QUEST_LV_0100_20150317_003911	아라스에게 광산 마을 입장 허가 받기
QUEST_LV_0100_20150317_003912	기사 아라스에게 광산 마을에 들어가게 해 달라고 말해 보세요.
QUEST_LV_0100_20150317_003913	농장의 포쿠부 처치
QUEST_LV_0100_20150317_003914	여신의 꿈을 좇아 광산 마을로 가기 위해선 어쩔 수 없이 이 숲의 상황이 해결될 때 까지 자신들을 도우라는 아라스의 제안을 받아들여야만 합니다. 먼저 농장을 점거한 포쿠부를 잡아 없앱시다.
QUEST_LV_0100_20150317_003915	아라스에게 보고
QUEST_LV_0100_20150317_003916	광산 마을로 가기 위한 제안 중 하나인 포쿠부 처치를 아라스에게 보고하세요.
QUEST_LV_0100_20150317_003917	경계병에게 츄파카브라 퇴치 계획 듣기
QUEST_LV_0100_20150317_003918	경계병을 도와 군에 위협이 되는 츄파카브라를 퇴치 합시다.
QUEST_LV_0100_20150317_003919	츄파카브라 사냥
QUEST_LV_0100_20150317_003920	숲 속을 돌아다니면서 병사를 위협하는 츄파카브라를 퇴치하세요.
QUEST_LV_0100_20150317_003921	경계병에게 돌아가 보고
QUEST_LV_0100_20150317_003922	동쪽 숲 캠프에 있는 경계병에게 츄파카브라 퇴치를 보고 하세요.
QUEST_LV_0100_20150317_003923	경계병에게 보급지에 관한 설명 듣기
QUEST_LV_0100_20150317_003924	경계병에게서 보급지를 습격해온 몬스터 설명을 들어 보세요.
QUEST_LV_0100_20150317_003925	보급지 탈환
QUEST_LV_0100_20150317_003926	보급지를 점거한 몬스터를 처치합니다.
QUEST_LV_0100_20150317_003927	전초기지 경계병에게 돌아가 보고
QUEST_LV_0100_20150317_003928	전초기지 경계병에게 돌아가 보급지를 되찾았다고 보고 하세요.
QUEST_LV_0100_20150317_003929	보급기지의 츄파카브라 처치
QUEST_LV_0100_20150317_003930	보급 담당관에게 츄파카브라 정보 얻기
QUEST_LV_0100_20150317_003931	보급 담당관에게 츄파카브라에 대한 정보를 들어 보세요.
QUEST_LV_0100_20150317_003932	대형 회색 츄파카브라 처치
QUEST_LV_0100_20150317_003933	츄파카브라를 처치하면 대형 회색 츄파카브라가 나타납니다. 이 대형 회색 츄파카브라를 처치하세요.
QUEST_LV_0100_20150317_003934	보급 담당관에게 돌아가 보고
QUEST_LV_0100_20150317_003935	보급 담당관에게 대형 회색 츄파카브라 처치를 보고 하세요.
QUEST_LV_0100_20150317_003936	츄파카브라 처치 시 출현하는 대형 회색 츄파카브라 처치
QUEST_LV_0100_20150317_003937	보급 담당관과 대화
QUEST_LV_0100_20150317_003938	보급 담당관이 뭔가 난처한 듯한 눈치입니다. 보급 담당관과 대화해 보세요.
QUEST_LV_0100_20150317_003939	{memo X}표시 위치로 이동
QUEST_LV_0100_20150317_003940	{memo X}표시된 곳에서 위버의 흔적을 추적하세요.
QUEST_LV_0100_20150317_003941	{memo X}위버를 처치한 후 보급 담당관에게 돌아가 보고 하세요.
QUEST_LV_0100_20150317_003942	위버 처치
QUEST_LV_0100_20150317_003943	아라스와 대화
QUEST_LV_0100_20150317_003944	여신의 계시를 좇아 수정광산으로 들어가기 위한 아라스의 제안 중 이번에 해야 할 일에 대해 이야기해 보세요.
QUEST_LV_0100_20150317_003945	포포리온에게서 단서가 될 만한 것 수집
QUEST_LV_0100_20150317_003946	아라스와 약속한 수정광산 입장 허가를 위해, 포포리온을 처치하여 몬스터가 불어난 이유에 대해 단서가 될만한 것을 찾아 보세요.
QUEST_LV_0100_20150317_003947	부베 옷 조각을 작전 담당관에게 전달
QUEST_LV_0100_20150317_003948	부베 옷 조각을 발견했습니다. 이게 과연 단서가 될까요? 부베 옷 조각을 작전 담당관에게 전해 주세요.
QUEST_LV_0100_20150317_003949	작전 담당관과 대화
QUEST_LV_0100_20150317_003950	작전 담당관은 부베의 옷 조각을 보고 뭔가 짚히는 것이 있는 것 같습니다. 작전 담당관과 다시 대화해 보세요.
QUEST_LV_0100_20150317_003951	위쪽 지역을 조사
QUEST_LV_0100_20150317_003952	작전 담당관은 샤울레이 동쪽 숲엔 원래 부베가 없다고 합니다. 작전 담당관이 아라스에게 부베 수색을 요청할 동안 샤울레이 동쪽 숲 위쪽을 정찰해 보세요.
QUEST_LV_0100_20150317_003953	작전 담당관에게 보고
QUEST_LV_0100_20150317_003954	부베 투사가 부베들을 지휘하는 걸까요? 본 것을 작전 담당관에게 말해 주세요.
QUEST_LV_0100_20150317_003955	부베 투사의 부하들 처치
QUEST_LV_0100_20150317_003956	부베 투사를 목격한 것에 대해 아라스와 대화해 보세요.
QUEST_LV_0100_20150317_003957	부베 투사 탐색
QUEST_LV_0100_20150317_003958	수정광산의 약속에 포함된 일로 쳐 주는 걸까요? 어쨌든 부베 투사가 얼마나 있는지 직접 확인 해 봅시다.
QUEST_LV_0100_20150317_003959	아라스에게 돌아가 대화
QUEST_LV_0100_20150317_003960	부베 투사는 그 한 마리가 전부인 것 같습니다. 아라스에게 돌아가 부베 투사를 목격한 것을 알려주세요.
QUEST_LV_0100_20150317_003961	부베 투사의 부하 처치
QUEST_LV_0100_20150317_003962	동쪽 숲 보급병과 대화
QUEST_LV_0100_20150317_003963	보급에 문제가 생긴 것 같습니다. 보급병과 대화해 보세요.
QUEST_LV_0100_20150317_003964	위버의 발톱 수집
QUEST_LV_0100_20150317_003965	보급병을 위해 위버를 처치하고 발톱을 수집하세요.
QUEST_LV_0100_20150317_003966	보급병에게 위버의 발톱 전달
QUEST_LV_0100_20150317_003967	보급병에게 돌아가 위버의 발톱을 전해 주세요.
QUEST_LV_0100_20150317_003968	위버를 처치해 %s 수집
QUEST_LV_0100_20150317_003969	아직도 뭔가 해결이 안된 눈치입니다. 보급병과 대화해 보세요.
QUEST_LV_0100_20150317_003970	포쿠부를 처치
QUEST_LV_0100_20150317_003971	보급병을 방해하는 포쿠부를 처치하세요.
QUEST_LV_0100_20150317_003972	보급병과 대화
QUEST_LV_0100_20150317_003973	보급병에게 가서 포쿠부를 처치한 사실을 전하세요.
QUEST_LV_0100_20150317_003974	포쿠부 처치
QUEST_LV_0100_20150317_003975	수색병을 찾아 가기
QUEST_LV_0100_20150317_003976	작전 담당관은 아랫쪽에 있는 수색병이 부베 투사를 발견했다고 합니다. 불볘스 농장 아랫쪽 다리 근처에 있는 수색병을 찾아가 보세요.
QUEST_LV_0100_20150317_003977	부베 투사 수색
QUEST_LV_0100_20150317_003978	{memo X}수색병은 부베 투사가 누데기 벌목지에 있다며 사살 명령이 떨어졌지만 추가 병력을 기다리는게 좋겠다고 합니다. 하지만 수정광산에 빨리 가야 하니 먼저 가서 부베 투사를 처치합시다.
QUEST_LV_0100_20150317_003979	수색병에게 부베 투사 퇴치를 알림
QUEST_LV_0100_20150317_003980	수색병에게 돌아가 부베 투사를 처치한 것을 알려 주세요.
QUEST_LV_0100_20150317_003981	부베 투사 처치
QUEST_LV_0100_20150317_003982	아라스에게 돌아가 보고
QUEST_LV_0100_20150317_003983	아라스에게 돌아가 부베 투사를 처치했다고 알려 주세요.
QUEST_LV_0100_20150317_003984	아라스와 광산 마을에 대해 대화
QUEST_LV_0100_20150317_003985	드디어 여신의 계시를 찾기 위해 광산 마을로 갈 수 있는 허가를 얻을 수 있게 되나 싶었더니 부베들이 쳐들어 왔습니다. 일단 눈앞의 부베들을 물리칩시다.
QUEST_LV_0100_20150317_003986	아라스와 다시 대화
QUEST_LV_0100_20150317_003987	쳐들어온 부베들을 간신히 물리쳤습니다. 아라스에게 허가를 받은 뒤, 광산 마을로 가야 합니다.
QUEST_LV_0100_20150317_003988	피난민을 뒤쫓는 몬스터 처치
QUEST_LV_0100_20150317_003989	바이도타스와 대화
QUEST_LV_0100_20150317_003990	마을 사람들이 갇혀 있을지도 모르는 광산 3층에 도착하였습니다. 마을 사람들을 찾기 위해 바이도타스와 대화해 보세요.
